dataset,graph_id,graph_name,graph_type,community_strength,method,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,40,40,0.03367003367003367,0.4437984496124031,229
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,41,41,0.034511784511784514,0.4437984496124031,229
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,42,42,0.03535353535353535,0.4437984496124031,229
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,43,43,0.0361952861952862,0.4437984496124031,229
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,44,44,0.037037037037037035,0.4437984496124031,229
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,45,45,0.03787878787878788,0.4166666666666667,215
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,46,46,0.03872053872053872,0.4166666666666667,215
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,47,47,0.03956228956228956,0.4166666666666667,215
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,48,48,0.04040404040404041,0.4166666666666667,215
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,49,49,0.041245791245791245,0.4166666666666667,215
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,50,50,0.04208754208754209,0.41472868217054265,214
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,51,51,0.04292929292929293,0.41472868217054265,214
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,52,52,0.04377104377104377,0.41472868217054265,214
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,53,53,0.04461279461279461,0.41472868217054265,214
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,54,54,0.045454545454545456,0.4127906976744186,213
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,55,55,0.046296296296296294,0.4127906976744186,213
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,56,56,0.04713804713804714,0.4127906976744186,213
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,57,57,0.047979797979797977,0.4127906976744186,213
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,58,58,0.04882154882154882,0.4127906976744186,213
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,59,59,0.049663299663299666,0.4127906976744186,213
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,60,60,0.050505050505050504,0.4127906976744186,213
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,61,61,0.05134680134680135,0.4127906976744186,213
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,62,62,0.05218855218855219,0.4127906976744186,213
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,63,63,0.05303030303030303,0.4127906976744186,213
