gcc_ratio,graph_id,graph_type,method,remove_ratio,removed_edges,split
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.12887438825448613,79,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.13050570962479607,80,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.13213703099510604,81,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.13376835236541598,82,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.13539967373572595,83,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.1370309951060359,84,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.13866231647634583,85,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.1402936378466558,86,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.14192495921696574,87,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.14355628058727568,88,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.14518760195758565,89,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.1468189233278956,90,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.14845024469820556,91,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.1500815660685155,92,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.15171288743882544,93,real_external_test
0.5043478260869565,football,real,Expanded oracle top-5 h1,0.1533442088091354,94,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.15497553017944535,95,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.1566068515497553,96,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.15823817292006526,97,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.1598694942903752,98,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.16150081566068517,99,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.1631321370309951,100,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.16476345840130505,101,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.16639477977161501,102,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.16802610114192496,103,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.16965742251223492,104,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.17128874388254486,105,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.1729200652528548,106,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.17455138662316477,107,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.1761827079934747,108,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.17781402936378465,109,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.17944535073409462,110,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.18107667210440456,111,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.18270799347471453,112,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.18433931484502447,113,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.1859706362153344,114,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.18760195758564438,115,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.18923327895595432,116,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.19086460032626426,117,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.19249592169657423,118,real_external_test
0.4956521739130435,football,real,Expanded oracle top-5 h1,0.19412724306688417,119,real_external_test
