network,best_method_by_auc,best_auc,m8_auc,m8_auc_minus_best,m8_remove_ratio_gcc_le_0_5,m8_remove_ratio_gcc_le_0_2,m8_remove_ratio_gcc_le_0_1
sbm_strong,M7 max C_i*C_j/E_ij with Louvain,0.189036246239636,0.20092877931860836,0.011892533078972367,0.0847457627118644,0.34019370460048426,0.5363196125907991
sbm_medium,M4 max E_i*E_j/E_ij with Louvain,0.33907388605431343,0.3537058695009586,0.01463198344664518,0.2966751918158568,0.4833759590792839,0.5959079283887468
sbm_weak,M4 max E_i*E_j/E_ij with Louvain,0.4773575268817197,0.5588521505376385,0.08149462365591881,0.4967741935483871,0.6462365591397851,0.7021505376344086
karate,M4 max E_i*E_j/E_ij with Louvain,0.3256033182503769,0.3286199095022622,0.0030165912518853033,0.2435897435897436,0.5384615384615384,0.7435897435897436
football,M5 max edge betweenness,0.21773175402510875,0.2400737640967445,0.02234201007163575,0.16476345840130505,0.2838499184339315,0.39477977161500816
ca_netscience,M5 max edge betweenness,0.04614816140597964,0.06579274031050246,0.01964457890452282,0.05142231947483589,0.05908096280087528,0.10722100656455144
bio_diseasome,M5 max edge betweenness,0.04678976457077229,0.0721874755304993,0.02539771095972701,0.04966329966329967,0.101010101010101,0.12205387205387205
inf_USAir97,M5 max edge betweenness,0.23814236248852386,0.36114897029321263,0.12300660780468878,0.3066792097836312,0.5691439322671684,0.6067732831608654
