network,method,auc,remove_ratio_gcc_le_0_5,remove_ratio_gcc_le_0_2,remove_ratio_gcc_le_0_1,elapsed_seconds,num_steps,auc_rank,remove_ratio_gcc_le_0_5_rank,remove_ratio_gcc_le_0_2_rank,remove_ratio_gcc_le_0_1_rank,method_id
sbm_strong,M3 max C_i*C_j with Louvain,0.21457614889818127,0.09079903147699757,0.39951573849878935,0.5508474576271186,7.899343490600586,827,6,4,6,4,M3
sbm_strong,M4 max E_i*E_j/E_ij with Louvain,0.1959455328099375,0.08837772397094433,0.3123486682808717,0.5121065375302664,7.421631813049316,827,2,3,1,1,M4
sbm_strong,M6 max E_i*E_j with Louvain,0.21428265707926464,0.09322033898305083,0.3983050847457627,0.5508474576271186,7.763746738433838,827,5,5,5,4,M6
sbm_strong,M7 max C_i*C_j/E_ij with Louvain,0.189036246239636,0.08595641646489104,0.3680387409200969,0.5242130750605327,7.426055669784546,827,1,2,4,2,M7
sbm_strong,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.20092877931860836,0.0847457627118644,0.34019370460048426,0.5363196125907991,7.451032638549805,827,4,1,2,3,M8
sbm_medium,M3 max C_i*C_j with Louvain,0.3715765528409344,0.29923273657289,0.5473145780051151,0.618925831202046,12.816236734390259,783,5,4,6,4,M3
sbm_medium,M4 max E_i*E_j/E_ij with Louvain,0.33907388605431343,0.2710997442455243,0.4718670076726343,0.5920716112531971,11.606088876724243,783,1,1,1,2,M4
sbm_medium,M6 max E_i*E_j with Louvain,0.3989962600727431,0.35421994884910485,0.5294117647058824,0.6432225063938619,13.21824598312378,783,6,6,4,5,M6
sbm_medium,M7 max C_i*C_j/E_ij with Louvain,0.36533048876094104,0.329923273657289,0.4936061381074169,0.5818414322250639,13.526803016662598,783,4,5,3,1,M7
sbm_medium,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.3537058695009586,0.2966751918158568,0.4833759590792839,0.5959079283887468,12.299791812896727,783,3,3,2,3,M8
sbm_weak,M3 max C_i*C_j with Louvain,0.5739489247311865,0.5612903225806452,0.6720430107526881,0.7161290322580646,28.0006902217865,931,6,5,5,5,M3
sbm_weak,M4 max E_i*E_j/E_ij with Louvain,0.4773575268817197,0.4548387096774194,0.6301075268817204,0.6763440860215054,23.91148042678833,931,1,1,1,1,M4
sbm_weak,M6 max E_i*E_j with Louvain,0.5432446236559174,0.4924731182795699,0.6387096774193548,0.6956989247311828,27.26723027229309,931,3,2,3,2,M6
sbm_weak,M7 max C_i*C_j/E_ij with Louvain,0.5572715053763493,0.5043010752688172,0.6333333333333333,0.7075268817204301,26.72936153411865,931,4,4,2,4,M7
sbm_weak,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.5588521505376385,0.4967741935483871,0.6462365591397851,0.7021505376344086,17.575953483581547,931,5,3,4,3,M8
