mean_auc,mean_remove_ratio_gcc_le_0_1,mean_remove_ratio_gcc_le_0_2,mean_remove_ratio_gcc_le_0_5,median_auc,method,num_graphs,split,std_auc
0.17719882218925959,0.4278526696894886,0.27390908476068815,0.1094580390299241,0.2177317540251082,Oracle strategy selector,5,real_external_test,0.12766664983337084
0.5718159870553896,0.6486784369326116,0.6076802392964425,0.5593685615289002,0.5880467571644041,M2 dynamic degree product,5,real_external_test,0.25443571438041895
0.2014795652761129,0.3960959998697377,0.28959995290030316,0.13623570698648096,0.24238598482161855,M4 dynamic community internal / pair,5,real_external_test,0.14043719413794994
0.17722611328791033,0.42768431952113845,0.2736902663799442,0.1094580390299241,0.2177317540251082,M5 dynamic edge betweenness,5,real_external_test,0.12763222412649788
0.1998956043003142,0.4007769160861702,0.28902544975899824,0.13268071523769803,0.24101000070927014,M7 dynamic community size / pair,5,real_external_test,0.14128677902043002
0.21120329575810567,0.4029562317161261,0.2946552624999539,0.15033129293405673,0.2410951131285907,M8 dynamic community bridge-degree,5,real_external_test,0.1348152735802525
0.39709177384045535,0.6229215311824373,0.5356476238725085,0.40837668014153206,0.41456010710945845,Oracle strategy selector,18,synthetic_test,0.10737699333628489
0.7244467403624456,0.7450730385678773,0.7284611849579958,0.7165224948702675,0.7271725312605553,M2 dynamic degree product,18,synthetic_test,0.06828631698760224
0.3992401859484425,0.5745900787040834,0.49109319256249784,0.35984765009916675,0.4251250200895379,M4 dynamic community internal / pair,18,synthetic_test,0.09924725414390943
0.39709177384045535,0.6229215311824373,0.5356476238725085,0.40837668014153206,0.41456010710945845,M5 dynamic edge betweenness,18,synthetic_test,0.10737699333628489
0.4122413262627577,0.5680226671091249,0.4889944164362608,0.3811720289246018,0.4451193457613807,M7 dynamic community size / pair,18,synthetic_test,0.11100429666095149
0.4356855458617567,0.5771628421080772,0.5097110788902423,0.3918862166481444,0.4857938720366824,M8 dynamic community bridge-degree,18,synthetic_test,0.11785656013745091
