gcc_after,gcc_before,gcc_delta,graph_id,graph_type,method,num_unique_candidates,remove_ratio,rollout_depth,rollout_edges,selected_source_method,selected_source_rank,split,step,u,v
0.9897959183673469,0.9897959183673469,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,21,0.02692664809656453,1,176-193,M5 dynamic edge betweenness,1,synthetic_test,29,176,193
0.9897959183673469,0.9897959183673469,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,21,0.027855153203342618,1,164-193,M5 dynamic edge betweenness,1,synthetic_test,30,164,193
0.9897959183673469,0.9897959183673469,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.028783658310120707,1,118-177,M5 dynamic edge betweenness,1,synthetic_test,31,118,177
0.9897959183673469,0.9897959183673469,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.029712163416898793,1,8-184,M5 dynamic edge betweenness,1,synthetic_test,32,8,184
0.9897959183673469,0.9897959183673469,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.03064066852367688,1,14-183,M5 dynamic edge betweenness,1,synthetic_test,33,14,183
0.9897959183673469,0.9897959183673469,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.031569173630454965,1,162-183,M5 dynamic edge betweenness,1,synthetic_test,34,162,183
0.9897959183673469,0.9897959183673469,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,18,0.032497678737233054,1,156-183,M5 dynamic edge betweenness,1,synthetic_test,35,156,183
0.9897959183673469,0.9897959183673469,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,17,0.033426183844011144,1,183-184,M5 dynamic edge betweenness,1,synthetic_test,36,183,184
0.9846938775510204,0.9897959183673469,0.005102040816326481,synthetic_test_000,sbm,Expanded oracle top-5 h1,18,0.034354688950789226,1,183-193,M5 dynamic edge betweenness,1,synthetic_test,37,183,193
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.035283194057567316,1,153-184,M5 dynamic edge betweenness,1,synthetic_test,38,153,184
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.036211699164345405,1,184-194,M5 dynamic edge betweenness,1,synthetic_test,39,184,194
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.03714020427112349,1,114-150,M5 dynamic edge betweenness,1,synthetic_test,40,114,150
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.03806870937790158,1,83-150,M5 dynamic edge betweenness,1,synthetic_test,41,83,150
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.03899721448467967,1,92-150,M5 dynamic edge betweenness,1,synthetic_test,42,92,150
