dataset,dataset_label,graph_id,seed,comparison,left_method,right_method,normalized_auc_left,normalized_auc_right,normalized_auc_diff,gcc_at_5pct_left,gcc_at_5pct_right,gcc_at_5pct_diff,gcc_at_10pct_left,gcc_at_10pct_right,gcc_at_10pct_diff,gcc_at_20pct_left,gcc_at_20pct_right,gcc_at_20pct_diff,gcc_at_40pct_left,gcc_at_40pct_right,gcc_at_40pct_diff,first_positive_drop_step_left,first_positive_drop_step_right,first_positive_drop_step_diff,positive_delta_gcc_rate_left,positive_delta_gcc_rate_right,positive_delta_gcc_rate_diff,conditional_mean_delta_gcc_left,conditional_mean_delta_gcc_right,conditional_mean_delta_gcc_diff,inter_community_ratio_left,inter_community_ratio_right,inter_community_ratio_diff,mean_edge_embeddedness_left,mean_edge_embeddedness_right,mean_edge_embeddedness_diff,mean_common_neighbors_left,mean_common_neighbors_right,mean_common_neighbors_diff,runtime_seconds_left,runtime_seconds_right,runtime_seconds_diff,true_source_traversal_count_left,true_source_traversal_count_right,true_source_traversal_count_diff,candidate_generation_seconds_left,candidate_generation_seconds_right,candidate_generation_seconds_diff,sampled_path_scoring_seconds_left,sampled_path_scoring_seconds_right,sampled_path_scoring_seconds_diff,model_scoring_seconds_left,model_scoring_seconds_right,model_scoring_seconds_diff,louvain_recomputes_left,louvain_recomputes_right,louvain_recomputes_diff,left_better,right_better,tie
realworld_completed,realworld24,bio_celegans,20260513,SASB-structured minus SASB-matched,SASB-structured,SASB-matched,0.643015289019704,0.6449022974409288,-0.0018870084212248006,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9403973509933776,0.9602649006622516,-0.01986754966887394,631,620,11,0.0790123456790123,0.0804938271604938,-0.0014814814814815003,0.0062362030905077,0.0061214263465106,0.0001147767439971005,0.482962962962963,0.4646913580246913,0.01827160493827168,0.2931863736883515,0.2955873392308022,-0.002400965542450728,1.6217283950617285,1.6217283950617285,0.0,116.51930089999225,129.98830260001705,-13.469001700024805,52105,52037,68,18.439134500018557,18.55466789970524,-0.11553339968668297,32.266648299846565,32.47837430002983,-0.21172600018326193,0.5635881992348004,0.5673801989469212,-0.0037919997121207416,468,464,4,1,0,0
realworld_completed,realworld24,bio_celegans,20260513,SASB-structured minus SASB-random,SASB-structured,SASB-random,0.643015289019704,0.6509241544708799,-0.007908865451175973,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9403973509933776,0.9448123620309052,-0.004415011037527616,631,577,54,0.0790123456790123,0.0795061728395061,-0.000493827160493801,0.0062362030905077,0.0061974689098213,3.873418068640021e-05,0.482962962962963,0.4711111111111111,0.011851851851851891,0.2931863736883515,0.2931945215381911,-8.147849839601484e-06,1.6217283950617285,1.6217283950617285,0.0,116.51930089999225,122.51859059999695,-5.999289700004709,52105,52325,-220,18.439134500018557,19.45147849965724,-1.0123439996386843,32.266648299846565,33.838623700721655,-1.5719754008750897,0.5635881992348004,0.5953221997770015,-0.0317340005422011,468,465,3,1,0,0
realworld_completed,realworld24,bio_celegans,20260513,SASB-matched minus SASB-random,SASB-matched,SASB-random,0.6449022974409288,0.6509241544708799,-0.006021857029951172,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9602649006622516,0.9448123620309052,0.015452538631346324,620,577,43,0.0804938271604938,0.0795061728395061,0.0009876543209876992,0.0061214263465106,0.0061974689098213,-7.604256331070029e-05,0.4646913580246913,0.4711111111111111,-0.006419753086419788,0.2955873392308022,0.2931945215381911,0.0023928176926111266,1.6217283950617285,1.6217283950617285,0.0,129.98830260001705,122.51859059999695,7.469712000020095,52037,52325,-288,18.55466789970524,19.45147849965724,-0.8968105999520013,32.47837430002983,33.838623700721655,-1.3602494006918278,0.5673801989469212,0.5953221997770015,-0.02794200083008036,464,465,-1,1,0,0
realworld_completed,realworld24,bio_celegans_dir,20260513,SASB-structured minus SASB-matched,SASB-structured,SASB-matched,0.6329316218352274,0.6260790886545117,0.00685253318071577,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9889624724061812,0.011037527593818819,0.958057395143488,0.9492273730684326,0.008830022075055344,470,350,120,0.0711111111111111,0.0716049382716049,-0.000493827160493801,0.0069291145450085,0.0068813275481464,4.7786996862099994e-05,0.4849382716049383,0.4711111111111111,0.013827160493827206,0.2980083932464989,0.3077557362537074,-0.009747343007208475,1.6217283950617285,1.6217283950617285,0.0,113.93550479999976,125.8023635999998,-11.866858800000031,51706,51473,233,18.49124329938786,17.7504339000443,0.7408093993435614,31.13421499988181,31.289725900103804,-0.15551090022199432,0.5341118999058381,0.5326763994526118,0.0014355004532262683,479,481,-2,0,1,0
realworld_completed,realworld24,bio_celegans_dir,20260513,SASB-structured minus SASB-random,SASB-structured,SASB-random,0.6329316218352274,0.638957839369907,-0.006026217534679579,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.958057395143488,0.9403973509933776,0.017660044150110354,470,493,-23,0.0711111111111111,0.0735802469135802,-0.0024691358024691024,0.0069291145450085,0.0066965939226928,0.00023252062231570066,0.4849382716049383,0.4720987654320988,0.012839506172839521,0.2980083932464989,0.3091299938213205,-0.011121600574821588,1.6217283950617285,1.6217283950617285,0.0,113.93550479999976,113.78967810000177,0.1458266999979969,51706,51568,138,18.49124329938786,18.406656200328143,0.08458709905971773,31.13421499988181,31.55200729938224,-0.4177922995004302,0.5341118999058381,0.5471459995023906,-0.01303409959655255,479,474,5,1,0,0
realworld_completed,realworld24,bio_celegans_dir,20260513,SASB-matched minus SASB-random,SASB-matched,SASB-random,0.6260790886545117,0.638957839369907,-0.012878750715395348,1.0,1.0,0.0,1.0,1.0,0.0,0.9889624724061812,1.0,-0.011037527593818819,0.9492273730684326,0.9403973509933776,0.00883002207505501,350,493,-143,0.0716049382716049,0.0735802469135802,-0.0019753086419753013,0.0068813275481464,0.0066965939226928,0.00018473362545360066,0.4711111111111111,0.4720987654320988,-0.0009876543209876854,0.3077557362537074,0.3091299938213205,-0.001374257567613113,1.6217283950617285,1.6217283950617285,0.0,125.8023635999998,113.78967810000177,12.012685499998028,51473,51568,-95,17.7504339000443,18.406656200328143,-0.6562223002838437,31.289725900103804,31.55200729938224,-0.26228139927843586,0.5326763994526118,0.5471459995023906,-0.014469600049778819,481,474,7,1,0,0
realworld_completed,realworld24,bio_celegansneural,20260513,SASB-structured minus SASB-matched,SASB-structured,SASB-matched,0.7483541184658502,0.7612782072744828,-0.012924088808632606,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1079,1064,15,0.0488826815642458,0.0493482309124767,-0.0004655493482308981,0.0094917428250761,0.0094021980814433,8.954474363279986e-05,0.4972067039106145,0.4906890130353817,0.0065176908752327956,0.2023576661706078,0.2089311091284214,-0.006573442957813591,1.5088454376163871,1.5088454376163871,0.0,118.4891326999932,127.49370190000629,-9.00456920001308,59038,59309,-271,21.665165399754187,21.38175109986332,0.2834142998908682,32.54676759929862,32.11318910040427,0.43357849889434874,0.6332987001223955,0.6213712996104732,0.011927400511922315,386,386,0,1,0,0
realworld_completed,realworld24,bio_celegansneural,20260513,SASB-structured minus SASB-random,SASB-structured,SASB-random,0.7483541184658502,0.776432857438444,-0.02807873897259383,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1079,1076,3,0.0488826815642458,0.0507448789571694,-0.0018621973929235994,0.0094917428250761,0.0091434219874586,0.0003483208376175006,0.4972067039106145,0.4613594040968343,0.03584729981378021,0.2023576661706078,0.2089247516679483,-0.006567085497340502,1.5088454376163871,1.5088454376163871,0.0,118.4891326999932,119.63761560001876,-1.1484829000255559,59038,59418,-380,21.665165399754187,22.021774998604087,-0.35660959884990007,32.54676759929862,32.93339850031771,-0.3866309010190889,0.6332987001223955,0.6356406997074373,-0.0023419995850417763,386,381,5,1,0,0
realworld_completed,realworld24,bio_celegansneural,20260513,SASB-matched minus SASB-random,SASB-matched,SASB-random,0.7612782072744828,0.776432857438444,-0.015154650163961225,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1064,1076,-12,0.0493482309124767,0.0507448789571694,-0.0013966480446927013,0.0094021980814433,0.0091434219874586,0.0002587760939847007,0.4906890130353817,0.4613594040968343,0.029329608938547413,0.2089311091284214,0.2089247516679483,6.357460473088716e-06,1.5088454376163871,1.5088454376163871,0.0,127.49370190000629,119.63761560001876,7.856086299987524,59309,59418,-109,21.38175109986332,22.021774998604087,-0.6400238987407683,32.11318910040427,32.93339850031771,-0.8202093999134377,0.6213712996104732,0.6356406997074373,-0.014269400096964091,386,381,5,1,0,0
realworld_completed,realworld24,bio_diseasome,20260513,SASB-structured minus SASB-matched,SASB-structured,SASB-matched,0.1157953892934513,0.1170824850572912,-0.001287095763839896,0.4127906976744186,0.4224806201550387,-0.009689922480620061,0.4031007751937984,0.4050387596899225,-0.00193798449612409,0.2713178294573643,0.2713178294573643,0.0,0.0562015503875969,0.0562015503875969,0.0,2,2,0,0.09006734006734,0.09006734006734,0.0,0.0093276823878866,0.0093276823878866,0.0,0.2112794612794613,0.2121212121212121,-0.0008417508417508102,0.3736999665229331,0.3761457682988494,-0.002445801775916301,1.144781144781145,1.144781144781145,0.0,13.287971399986418,14.642775500018615,-1.3548041000321973,20504,20541,-37,1.5928466000768822,1.540539400157286,0.05230719991959609,3.330068500392372,3.3789677000022493,-0.04889919960987754,0.080367999849841,0.0858465997152961,-0.005478599865455097,495,495,0,1,0,0
