method,ratio_source_boundary,ratio_source_bridge_neighbor,ratio_source_community,ratio_source_community_boundary,ratio_source_core2_boundary,ratio_source_degree,ratio_source_random_fill
Adaptive-SASB,0.375,0.3510351828438047,0.07024739583333334,0.25474819086145695,0.175302504528545,0.22510439967905077,0.16172896328737923
SASB-k32,0.3791454081632653,,0.09436029620181406,,,0.3157773526077098,0.2107169430272109
SASB-k64,0.41711752678338965,,0.04727294821691681,,,0.29494573541291463,0.2465729081138935
