auc,bridge_core_adaptive_step_ratio,bridge_selection_ratio_full,candidate_generation_seconds,early_bridge_selection_ratio,graph_id,inter_community_edge_ratio,late_bridge_selection_ratio,mean_delta_gcc,mean_embeddedness,mean_k,mean_sample_sources,mean_source_boundary,mean_source_bridge_neighbor,mean_source_community,mean_source_community_boundary,mean_source_core2_boundary,mean_source_degree,mean_source_random_fill,method,middle_bridge_selection_ratio,model_scoring_seconds,normalized_auc,observed_remove_ratio,ratio_source_boundary,ratio_source_bridge_neighbor,ratio_source_community,ratio_source_community_boundary,ratio_source_core2_boundary,ratio_source_degree,ratio_source_random_fill,removed_edges,runtime_seconds,sampled_path_scoring_seconds,status,total_selection_seconds,m5_auc,m5_runtime_seconds,outcome,sasb_minus_m5_normalized_auc,speedup_vs_m5,auc_minus_m5
0.17694162706574934,0.0,0.025,0.9107065000000012,0.025,football,1.0,,0.005144927536231884,0.03274801587301587,32.0,32.0,12.0,,1.2583333333333333,,,10.0,8.741666666666667,SASB-k32,,0.002839500000000772,0.9038768115942029,0.19575856443719414,0.375,,0.039322916666666666,,,0.3125,0.27317708333333335,120,4.5759305999999995,1.2130313000000035,finished,3.0763997999999964,0.2177317540251082,7.319857099999979,SASB_better,-0.000269522661181687,1.5996433818292566,0.6861450575690946
0.15121639832612244,0.0,0.025,0.7817022999999983,0.025,football,0.9916666666666667,,0.0050724637681159425,0.031302910052910055,64.0,59.725,25.0,,0.225,,,19.0,15.5,SASB-k64,,0.005217300000008862,0.7724637681159421,0.19575856443719414,0.4185851820845542,,0.0037672666387609877,,,0.3181247383842612,0.2595228128924236,120,4.8929999,1.9829207999999996,finished,3.60798229999999,0.2177317540251082,7.319857099999979,SASB_better,-0.000269522661181687,1.495985540486109,0.5547320140908338
0.17694162706574934,0.0,0.025,0.9015226999999992,0.025,football,1.0,,0.005144927536231884,0.03274801587301587,32.0,32.0,12.0,,1.2583333333333333,,,10.0,8.741666666666667,Adaptive-SASB,,0.002778300000002787,0.9038768115942029,0.19575856443719414,0.375,,0.039322916666666666,,,0.3125,0.27317708333333335,120,4.575722599999999,1.1761458000000165,finished,3.057506700000003,0.2177317540251082,7.319857099999979,SASB_better,-0.000269522661181687,1.599716097300125,0.6861450575690946
0.03110481429279879,0.0,0.14166666666666666,0.9324853000000015,0.14166666666666666,bio_diseasome,0.9916666666666667,,0.00741279069767442,0.21396223009552534,32.0,32.0,12.0,,2.6,,,10.0,7.4,SASB-k32,,0.0025866999999877294,0.30793766149870805,0.10101010101010101,0.375,,0.08125,,,0.3125,0.23125,120,5.391655099999998,1.3192589000000048,finished,3.2229290999999964,0.04675550726907316,21.2240858,SASB_better,-0.002579085427922637,3.9364694896748884,0.26118215422963487
0.02681694203012032,0.0,0.15,0.8661405999999516,0.15,bio_diseasome,0.9583333333333334,,0.007299741602067185,0.22065578422128765,64.0,64.0,25.0,,1.1333333333333333,,,19.0,18.866666666666667,SASB-k64,,0.005056000000031702,0.26548772609819116,0.10101010101010101,0.390625,,0.017708333333333333,,,0.296875,0.2947916666666667,120,6.054280200000001,2.345817300000011,finished,4.071932500000003,0.04675550726907316,21.2240858,SASB_better,-0.002579085427922637,3.5056332212704655,0.218732218829118
0.03110481429279879,0.0,0.14166666666666666,0.9336471000000408,0.14166666666666666,bio_diseasome,0.9916666666666667,,0.00741279069767442,0.21396223009552534,32.0,32.0,12.0,,2.6,,,10.0,7.4,Adaptive-SASB,,0.002549800000018365,0.30793766149870805,0.10101010101010101,0.375,,0.08125,,,0.3125,0.23125,120,5.437376799999999,1.3421308999999901,finished,3.2600887999999664,0.04675550726907316,21.2240858,SASB_better,-0.002579085427922637,3.9033685875880453,0.26118215422963487
0.055865921787709494,0.0,0.0,4.650084700000043,0.0,bio_celegansneural,0.975,,0.0,0.16406996462491724,32.0,32.0,12.0,,0.21666666666666667,,,10.0,9.783333333333333,SASB-k32,,0.0028695000000169557,1.0,0.055865921787709494,0.375,,0.0067708333333333336,,,0.3125,0.30572916666666666,120,22.1270661,4.291151399999947,finished,12.659015899999979,0.372458288659406,287.6925494,SASB_better,-0.021755418869012944,13.001838928840186,0.627541711340594
0.055865921787709494,0.0,0.0,4.443729000000012,0.0,bio_celegansneural,0.975,,0.0,0.1653823476731496,64.0,64.0,25.0,,,,,19.0,20.0,SASB-k64,,0.005293099999938988,1.0,0.055865921787709494,0.390625,,,,,0.296875,0.3125,120,25.653553099999996,8.66695860000003,finished,16.761236300000007,0.372458288659406,287.6925494,SASB_better,-0.021755418869012944,11.214530333421925,0.627541711340594
0.055865921787709494,0.0,0.0,4.688115500000023,0.0,bio_celegansneural,0.975,,0.0,0.16406996462491724,32.0,32.0,12.0,,0.21666666666666667,,,10.0,9.783333333333333,Adaptive-SASB,,0.0028035000000272703,1.0,0.055865921787709494,0.375,,0.0067708333333333336,,,0.3125,0.30572916666666666,120,22.5554324,4.510530799999984,finished,12.959254899999976,0.372458288659406,287.6925494,SASB_better,-0.021755418869012944,12.754911734700329,0.627541711340594
0.04118050789293068,0.0,0.0,5.891310399999966,0.0,soc_wiki_vote,0.9416666666666667,,0.0,0.09387416562123327,32.0,32.0,12.0,,4.916666666666667,,,10.0,5.083333333333333,SASB-k32,,0.0025113000000658303,1.0,0.04118050789293068,0.375,,0.15364583333333334,,,0.3125,0.15885416666666666,120,37.714936399999985,8.893291699999992,finished,20.94780690000009,0.202439176914828,1259.436823,SASB_better,-0.0018312741792657075,33.393582045123125,0.7975608230851721
0.04110986641426171,0.0,0.008333333333333333,6.071986800000161,0.008333333333333333,soc_wiki_vote,0.95,,1.8747656542932496e-05,0.10629468558222002,64.0,64.0,25.0,,3.7416666666666667,,,19.0,16.258333333333333,SASB-k64,,0.004670200000049363,0.9982845894263219,0.04118050789293068,0.390625,,0.05846354166666667,,,0.296875,0.2540364583333333,120,47.698440999999974,17.679959999999966,finished,29.897644399999876,0.202439176914828,1259.436823,SASB_better,-0.0018312741792657075,26.40415067234589,0.795845412511494
