graph_id,m5_full_bridge_ratio,sasb_full_bridge_ratio,full_ratio_diff
bio_celegans,0.22320987654320987,0.22320987654320987,0.0
bio_celegans_dir,0.22320987654320987,0.22320987654320987,0.0
bio_celegansneural,0.1378026070763501,0.1378026070763501,0.0
bio_diseasome,0.4335016835016835,0.4335016835016835,0.0
bio_grid_mouse,0.7194899817850637,0.7194899817850637,0.0
bio_grid_plant,0.46625091709464417,0.46625091709464417,0.0
bio_sc_ts,0.029850746268656716,0.029850746268656716,0.0
ca_csphd,0.9817833173537871,0.9817833173537871,0.0
ca_netscience,0.4135667396061269,0.4135667396061269,0.0
football,0.1859706362153344,0.1859706362153344,0.0
ia_email_univ,0.20766831773986424,0.20766831773986424,0.0
ia_enron_only,0.22792937399678972,0.22792937399678972,0.0
ia_infect_dublin,0.14792043399638335,0.14792043399638335,0.0
ia_infect_hyper,0.051001821493624776,0.051001821493624776,0.0
ia_radoslaw_email,0.051076923076923075,0.051076923076923075,0.0
inf_euroroad,0.7954022988505747,0.7954022988505747,0.0
inf_power,0.7491659084015772,0.7491659084015772,0.0
inf_usair97,0.15569143932267168,0.15569143932267168,0.0
rt_retweet,0.811965811965812,0.811965811965812,0.0
rt_twitter_copen,0.738581146744412,0.738581146744412,0.0
soc_dolphins,0.3836477987421384,0.3836477987421384,0.0
soc_wiki_vote,0.304735758407687,0.304735758407687,0.0
web_edu,0.4680259499536608,0.4680259499536608,0.0
web_polblogs,0.28157894736842104,0.28157894736842104,0.0
