community_strength,dataset,diagnosis,graph_id,graph_name,graph_type,m5_auc,m5_bridge_ratio,m5_inter_community_ratio,m5_mean_common_neighbors,m5_mean_delta_gcc,m5_mean_embeddedness,outcome,sasb_auc,sasb_bridge_ratio,sasb_inter_community_ratio,sasb_mean_common_neighbors,sasb_mean_delta_gcc,sasb_mean_embeddedness,sasb_minus_m5_normalized_auc,outcome_class,average_degree,average_edge_embeddedness,bridge_ratio,clustering_coefficient,community_algorithm,core2_size_ratio,degree_cv,inter_community_edge_ratio,m,modularity,n,num_communities
,realworld_completed,当前记录的单一结构指标不足以解释 AUC 差异,bio_celegans,bio-celegans,biological,0.3488610906712452,0.22320987654320987,0.5165432098765432,1.6217283950617285,0.0004927370343117219,0.3123617130100376,SASB_worse,0.35090398713651105,0.22320987654320987,0.6162962962962963,1.6217283950617285,0.0004927370343117219,0.31799480528961793,0.002042896465265842,SASB worse than M5,8.940397350993377,0.6670335135523813,0.003950617283950617,0.6464630921565047,greedy_modularity,0.9823399558498896,1.8668183359900012,0.37580246913580245,2025,0.4053195549458924,453,12
,realworld_completed,当前记录的单一结构指标不足以解释 AUC 差异,bio_celegans_dir,bio-celegans-dir,biological,0.3488600005450631,0.22320987654320987,0.5056790123456789,1.6217283950617285,0.0004927370343117219,0.3123334943151523,SASB_worse,0.3511154716158396,0.22320987654320987,0.6232098765432099,1.6217283950617285,0.0004927370343117219,0.3136709440277455,0.002255471070776505,SASB worse than M5,8.940397350993377,0.6670335135523812,0.003950617283950617,0.6464630921565042,greedy_modularity,0.9823399558498896,1.8668183359900012,0.32839506172839505,2025,0.4075522633744856,453,11
,realworld_completed,SASB 更偏向低 embeddedness 边; SASB 所选边带来更大的平均 GCC drop,bio_celegansneural,bio-celegansneural,biological,0.372458288659406,0.1378026070763501,0.43482309124767227,1.5088454376163871,0.0004639818420079121,0.3238171886845222,SASB_better,0.35070286979039306,0.1378026070763501,0.6815642458100558,1.5088454376163871,0.0004639818420079125,0.2648642210503089,-0.021755418869012944,SASB better than M5,14.464646464646465,0.3464964870375479,0.006983240223463687,0.2923632978321901,greedy_modularity,0.9494949494949495,0.8948929027123803,0.29748603351955305,2148,0.36920111471760136,297,4
,realworld_completed,SASB 更偏向低 embeddedness 边; SASB 所选边带来更大的平均 GCC drop,bio_diseasome,bio-diseasome,biological,0.04675550726907316,0.4335016835016835,0.26262626262626265,1.144781144781145,0.0008401195416699296,0.4271884868961615,SASB_better,0.044176421841150525,0.4335016835016835,0.2786195286195286,1.144781144781145,0.0008401195416699298,0.4269847351204401,-0.002579085427922637,SASB better than M5,4.604651162790698,0.791110930097575,0.09343434343434344,0.6358304997771197,greedy_modularity,0.813953488372093,0.9745730029999684,0.07996632996632996,1188,0.8198050935845548,516,26
,realworld_completed,当前记录的单一结构指标不足以解释 AUC 差异,bio_grid_mouse,bio-grid-mouse,biological,0.057076537273838886,0.7194899817850637,0.2896174863387978,0.09562841530054644,0.000909595425771258,0.04253273037426043,SASB_worse,0.06732042398660706,0.7194899817850637,0.3588342440801457,0.09562841530054644,0.000909595425771258,0.04482270663964653,0.010243886712768178,SASB worse than M5,2.7762326169405815,0.09193226829838852,0.4772313296903461,0.046861683578442954,greedy_modularity,0.347661188369153,2.140665677765453,0.04918032786885246,1098,0.7929278602260774,791,28
,realworld_completed,当前记录的单一结构指标不足以解释 AUC 差异,bio_grid_plant,bio-grid-plant,biological,0.030139969407106962,0.4662509170946442,0.3008070432868672,0.9086573734409392,0.00036654946312471927,0.2573359142601675,SASB_worse,0.03086095576258438,0.4662509170946442,0.3866471019809245,0.9086573734409392,0.0003665494631247197,0.2153481326488948,0.0007209863554774183,SASB worse than M5,4.286163522012578,0.33512189219813454,0.21019809244314014,0.16759606393508542,greedy_modularity,0.5581761006289309,1.355652070047672,0.03888481291269259,2726,0.8666483158024489,1272,29
,realworld_completed,当前记录的单一结构指标不足以解释 AUC 差异,bio_sc_ts,bio-SC-TS,biological,0.6763941486596866,0.02985074626865672,0.0,21.66666666666667,0.000445533526397862,0.9701492537313432,SASB_worse,0.6765089072952739,0.02985074626865672,0.0067842605156038,21.66666666666667,0.000445533526397862,0.9685848949909256,0.00011475863558729758,SASB worse than M5,66.0,1.0,0.0,1.0,greedy_modularity,1.0,0.0,0.0,2211,0.0,67,1
,realworld_completed,当前记录的单一结构指标不足以解释 AUC 差异,ca_csphd,ca-CSphd,collaboration,0.018212005705867226,0.9817833173537872,0.2358581016299137,0.0038350910834132313,0.0009578373827841828,0.0015979546180888461,SASB_worse,0.018269999766152983,0.9817833173537872,0.2377756471716204,0.0038350910834132313,0.0009578373827841828,0.0015979546180888461,5.799406028575774e-05,SASB worse than M5,2.0351219512195122,0.007190795781399808,0.8983700862895494,0.00343321718931475,greedy_modularity,0.0897560975609756,1.3919018166777846,0.040268456375838924,1043,0.9243350869468098,1025,33
,realworld_completed,当前记录的单一结构指标不足以解释 AUC 差异,ca_netscience,ca-netscience,collaboration,0.046145274619954615,0.4135667396061269,0.2210065645514223,1.0076586433260395,0.0010912051176942671,0.4649502752308217,SASB_worse,0.04633868928367292,0.4135667396061269,0.2188183807439825,1.0076586433260395,0.0010912051176942671,0.4650440545368548,0.0001934146637183054,SASB worse than M5,4.823218997361478,0.8495330472933769,0.03282275711159737,0.7412306142925664,greedy_modularity,0.9287598944591029,0.814219416432427,0.06455142231947483,914,0.8382946530747094,379,19
,realworld_completed,SASB 所选边带来更大的平均 GCC drop,football,football,social,0.2177317540251082,0.1859706362153344,0.4159869494290375,1.3213703099510603,0.001617135967089863,0.4676849478236101,SASB_better,0.2174622313639265,0.1859706362153344,0.4176182707993475,1.3213703099510603,0.0016171359670898635,0.4704491312566353,-0.000269522661181687,SASB better than M5,10.660869565217391,0.41874689566369827,0.0,0.40321601104209814,greedy_modularity,1.0,0.08287690568274414,0.26101141924959215,613,0.5564043335134086,115,6
,realworld_completed,SASB 更偏向低 embeddedness 边; SASB 所选边带来更大的平均 GCC drop,ia_email_univ,ia-email-univ,communication,0.2532434108060207,0.20766831773986424,0.4577141808842414,0.9801871216290589,0.00018329065996457533,0.26147877541441583,SASB_better,0.24812892133932365,0.20766831773986424,0.5872317006053935,0.9801871216290589,0.0001832906599645756,0.24392757009538715,-0.005114489466697042,SASB better than M5,9.62224183583407,0.2757693036591945,0.02843514951385067,0.2201760865041161,greedy_modularity,0.8631950573698146,0.9706303725140357,0.2425243074665199,5451,0.5100046272050782,1133,12
,realworld_completed,SASB 更偏向低 embeddedness 边,ia_enron_only,ia-enron-only,communication,0.2463603811918419,0.2279293739967897,0.3579454253611557,1.4269662921348314,0.001593911706271256,0.4390211900427744,SASB_better,0.2445307501487277,0.2279293739967897,0.4253611556982344,1.4269662921348314,0.001593911706271256,0.430960336388294,-0.0018296310431142047,SASB better than M5,8.713286713286713,0.5225938405743996,0.011235955056179775,0.4339070291479223,greedy_modularity,0.951048951048951,0.6949443717062995,0.24558587479935795,623,0.5125808687317877,143,5
,realworld_completed,SASB 更偏向低 embeddedness 边,ia_infect_dublin,ia-infect-dublin,contact,0.13512944912450933,0.14792043399638335,0.3667269439421337,2.572875226039783,0.0003607815463326425,0.5302903182428179,SASB_better,0.12549508225642836,0.14792043399638335,0.4918625678119349,2.572875226039783,0.0003607815463326424,0.4865651522649908,-0.009634366868080974,SASB better than M5,13.487804878048781,0.539206948030052,0.003616636528028933,0.4558242418435714,greedy_modularity,0.975609756097561,0.6225785310709043,0.08282097649186257,2765,0.6706501770713091,410,5
,realworld_completed,SASB 所选边平均 GCC drop 更小,ia_infect_hyper,ia-infect-hyper,contact,0.5309130035301514,0.051001821493624776,0.41530054644808745,7.680783242258652,0.00045134355304092766,0.6570074021839339,SASB_worse,0.6378491867756338,0.051001821493624776,0.7714025500910747,7.680783242258652,0.00045134355304092734,0.4815802951825127,0.10693618324548247,SASB worse than M5,38.86725663716814,0.6396461182817866,0.0004553734061930783,0.5347555956050046,greedy_modularity,0.9911504424778761,0.47212823995877734,0.5569216757741348,2196,0.08061322374511035,113,3
