outcome_class,method,selected_edges,bridge_selection_ratio,inter_community_edge_ratio,mean_common_neighbors,mean_edge_embeddedness,mean_degree_product,mean_immediate_delta_gcc
SASB better than M5,M5,15702,0.2226467965864221,0.4142147497134123,1.3295121640555343,0.32935743597641615,121.80257292064705,0.0004441828975069408
SASB better than M5,SASB,15702,0.2226467965864221,0.5522226467965864,1.3295121640555343,0.30316871864399886,131.21806139345307,0.00044418289750694246
SASB worse than M5,M5,37455,0.4141770124148979,0.33437458283273264,3.6904552129221733,0.36533463497592833,272.28372713923375,0.0004254879826215107
SASB worse than M5,SASB,37455,0.4141770124148979,0.463516219463356,3.6904552129221733,0.3058816318085439,350.78379388599654,0.0004254879826215129
tie / close,M5,117,0.811965811965812,0.39316239316239315,0.10256410256410256,0.029304029304029307,13.102564102564102,0.008457977207977205
tie / close,SASB,117,0.811965811965812,0.39316239316239315,0.10256410256410256,0.029304029304029307,13.102564102564102,0.008457977207977205
