dataset_group,graph_id,method,normalized_auc,ranking_checkpoint_count,runtime_seconds,seed,source_budget,source_step_count,status
synthetic45,synthetic_test_004,SASB-N-random-source,0.11347087378640783,5,0.3424588000000002,20260516,64,104,finished
synthetic45,synthetic_test_004,SASB-N-random-source,0.11580470500373419,5,0.34457990000000027,20260517,64,104,finished
synthetic45,synthetic_test_004,SASB-N-degree-source,0.11561799850634809,5,0.38415029999999994,20260513,64,104,finished
synthetic45,synthetic_test_004,SASB-N-degree-source,0.11561799850634809,5,0.3497729999999999,20260514,64,104,finished
synthetic45,synthetic_test_004,SASB-N-degree-source,0.11561799850634809,5,0.34522309999999923,20260515,64,104,finished
synthetic45,synthetic_test_004,SASB-N-degree-source,0.11561799850634809,5,0.34279729999999997,20260516,64,104,finished
synthetic45,synthetic_test_004,SASB-N-degree-source,0.11561799850634809,5,0.34437300000000004,20260517,64,104,finished
synthetic45,synthetic_test_004,SASB-N-frozen-source,0.11813853622106056,5,0.3313997999999998,20260513,64,104,finished
synthetic45,synthetic_test_004,SASB-N-frozen-source,0.11571135175504113,5,0.31495410000000135,20260514,64,104,finished
synthetic45,synthetic_test_004,SASB-N-frozen-source,0.11832524271844666,5,0.3271242000000001,20260515,64,104,finished
synthetic45,synthetic_test_004,SASB-N-frozen-source,0.11571135175504113,5,0.3131906999999998,20260516,64,104,finished
synthetic45,synthetic_test_004,SASB-N-frozen-source,0.11431105302464531,5,0.3184117999999998,20260517,64,104,finished
synthetic45,synthetic_test_006,SASB-N-structured,0.1367924528301887,5,0.4522990999999994,20260513,64,106,finished
synthetic45,synthetic_test_006,SASB-N-structured,0.1367924528301887,5,0.45412619999999926,20260514,64,106,finished
synthetic45,synthetic_test_006,SASB-N-structured,0.1367924528301887,5,0.4529101000000004,20260515,64,106,finished
synthetic45,synthetic_test_006,SASB-N-structured,0.1367924528301887,5,0.45216090000000086,20260516,64,106,finished
synthetic45,synthetic_test_006,SASB-N-structured,0.1367924528301887,5,0.45143859999999947,20260517,64,106,finished
synthetic45,synthetic_test_006,SASB-N-random-source,0.13059299191374665,5,0.4542649999999995,20260513,64,106,finished
synthetic45,synthetic_test_006,SASB-N-random-source,0.13409703504043127,5,0.44410859999999985,20260514,64,106,finished
synthetic45,synthetic_test_006,SASB-N-random-source,0.12367475292003595,5,0.38738260000000047,20260515,64,106,finished
synthetic45,synthetic_test_006,SASB-N-random-source,0.13409703504043127,5,0.4253867999999983,20260516,64,106,finished
synthetic45,synthetic_test_006,SASB-N-random-source,0.13373764600179697,5,0.42721760000000053,20260517,64,106,finished
synthetic45,synthetic_test_006,SASB-N-degree-source,0.13373764600179697,5,0.4320699000000001,20260513,64,106,finished
synthetic45,synthetic_test_006,SASB-N-degree-source,0.13373764600179697,5,0.42446560000000133,20260514,64,106,finished
synthetic45,synthetic_test_006,SASB-N-degree-source,0.13373764600179697,5,0.42597210000000096,20260515,64,106,finished
synthetic45,synthetic_test_006,SASB-N-degree-source,0.13373764600179697,5,0.4411543999999985,20260516,64,106,finished
synthetic45,synthetic_test_006,SASB-N-degree-source,0.13373764600179697,5,0.42847719999999967,20260517,64,106,finished
synthetic45,synthetic_test_006,SASB-N-frozen-source,0.1349056603773585,5,0.4041767000000007,20260513,64,106,finished
synthetic45,synthetic_test_006,SASB-N-frozen-source,0.1349056603773585,5,0.4042794999999977,20260514,64,106,finished
synthetic45,synthetic_test_006,SASB-N-frozen-source,0.1349056603773585,5,0.40634569999999925,20260515,64,106,finished
synthetic45,synthetic_test_006,SASB-N-frozen-source,0.1349056603773585,5,0.40059169999999966,20260516,64,106,finished
synthetic45,synthetic_test_006,SASB-N-frozen-source,0.1349056603773585,5,0.39906159999999957,20260517,64,106,finished
synthetic45,synthetic_test_038,SASB-N-structured,0.36752683935782526,5,2.8645114000000014,20260513,64,143,finished
synthetic45,synthetic_test_038,SASB-N-structured,0.36550773170491474,5,2.8096891,20260514,64,143,finished
synthetic45,synthetic_test_038,SASB-N-structured,0.3713188220230474,5,2.8082449999999994,20260515,64,143,finished
synthetic45,synthetic_test_038,SASB-N-structured,0.36954594701073573,5,2.863426699999998,20260516,64,143,finished
synthetic45,synthetic_test_038,SASB-N-structured,0.3685610164483404,5,2.793624300000001,20260517,64,143,finished
synthetic45,synthetic_test_038,SASB-N-random-source,0.362503693489609,5,2.7402133000000006,20260513,64,143,finished
synthetic45,synthetic_test_038,SASB-N-random-source,0.35974588791490203,5,2.753376799999998,20260514,64,143,finished
synthetic45,synthetic_test_038,SASB-N-random-source,0.3408352211169113,5,2.674853899999995,20260515,64,143,finished
synthetic45,synthetic_test_038,SASB-N-random-source,0.3532453462030926,5,2.6793872000000007,20260516,64,143,finished
synthetic45,synthetic_test_038,SASB-N-random-source,0.35235890869693687,5,2.7189762,20260517,64,143,finished
synthetic45,synthetic_test_038,SASB-N-degree-source,0.3739781345415148,5,2.8057044999999974,20260513,64,143,finished
synthetic45,synthetic_test_038,SASB-N-degree-source,0.3739781345415148,5,2.783887500000006,20260514,64,143,finished
synthetic45,synthetic_test_038,SASB-N-degree-source,0.3739781345415148,5,2.825659100000003,20260515,64,143,finished
synthetic45,synthetic_test_038,SASB-N-degree-source,0.3739781345415148,5,2.7596761,20260516,64,143,finished
synthetic45,synthetic_test_038,SASB-N-degree-source,0.3739781345415148,5,2.8079956999999993,20260517,64,143,finished
synthetic45,synthetic_test_038,SASB-N-frozen-source,0.3687087560326997,5,2.4949619,20260513,64,143,finished
synthetic45,synthetic_test_038,SASB-N-frozen-source,0.37383039495715553,5,2.4812899,20260514,64,143,finished
synthetic45,synthetic_test_038,SASB-N-frozen-source,0.3628976657145672,5,2.3626583000000068,20260515,64,143,finished
synthetic45,synthetic_test_038,SASB-N-frozen-source,0.36457204767063917,5,2.430886099999995,20260516,64,143,finished
synthetic45,synthetic_test_038,SASB-N-frozen-source,0.37176204077612524,5,2.452045400000003,20260517,64,143,finished
synthetic45,synthetic_test_041,SASB-N-structured,0.3347777467151244,5,2.579289700000004,20260513,64,147,finished
synthetic45,synthetic_test_041,SASB-N-structured,0.3339856490541422,5,2.6531670000000105,20260514,64,147,finished
synthetic45,synthetic_test_041,SASB-N-structured,0.3421861895443109,5,2.6073749999999905,20260515,64,147,finished
synthetic45,synthetic_test_041,SASB-N-structured,0.3358494082564533,5,2.7779033999999996,20260516,64,147,finished
synthetic45,synthetic_test_041,SASB-N-structured,0.3386450470599199,5,2.6631188000000066,20260517,64,147,finished
synthetic45,synthetic_test_041,SASB-N-random-source,0.3288603112477868,5,2.605983100000003,20260513,64,147,finished
synthetic45,synthetic_test_041,SASB-N-random-source,0.32485322896281804,5,2.716797299999996,20260514,64,147,finished
synthetic45,synthetic_test_041,SASB-N-random-source,0.3313297921908489,5,2.7463578000000126,20260515,64,147,finished
synthetic45,synthetic_test_041,SASB-N-random-source,0.3273227099058802,5,2.7703846,20260516,64,147,finished
synthetic45,synthetic_test_041,SASB-N-random-source,0.3298853788090578,5,2.6877877000000012,20260517,64,147,finished
synthetic45,synthetic_test_041,SASB-N-degree-source,0.3381325132792844,5,2.6283631000000014,20260513,64,147,finished
synthetic45,synthetic_test_041,SASB-N-degree-source,0.3381325132792844,5,2.778593900000004,20260514,64,147,finished
synthetic45,synthetic_test_041,SASB-N-degree-source,0.3381325132792844,5,2.720377499999998,20260515,64,147,finished
synthetic45,synthetic_test_041,SASB-N-degree-source,0.3381325132792844,5,2.6796827000000008,20260516,64,147,finished
synthetic45,synthetic_test_041,SASB-N-degree-source,0.3381325132792844,5,2.765012900000002,20260517,64,147,finished
synthetic45,synthetic_test_041,SASB-N-frozen-source,0.3431646631255242,5,2.428509399999996,20260513,64,147,finished
synthetic45,synthetic_test_041,SASB-N-frozen-source,0.3322616717920045,5,2.46963190000001,20260514,64,147,finished
synthetic45,synthetic_test_041,SASB-N-frozen-source,0.3467989935700308,5,2.4901509000000033,20260515,64,147,finished
synthetic45,synthetic_test_041,SASB-N-frozen-source,0.33999627248159536,5,2.4479967999999985,20260516,64,147,finished
synthetic45,synthetic_test_041,SASB-N-frozen-source,0.34144068586338644,5,2.638054800000006,20260517,64,147,finished
synthetic45,synthetic_test_043,SASB-N-structured,0.24698275862068966,5,2.797668300000012,20260513,64,145,finished
synthetic45,synthetic_test_043,SASB-N-structured,0.25933908045977017,5,2.369464899999997,20260514,64,145,finished
synthetic45,synthetic_test_043,SASB-N-structured,0.24276819923371648,5,2.7986617999999908,20260515,64,145,finished
synthetic45,synthetic_test_043,SASB-N-structured,0.24736590038314177,5,2.1633639000000073,20260516,64,145,finished
synthetic45,synthetic_test_043,SASB-N-structured,0.2471743295019157,5,1.7307815000000062,20260517,64,145,finished
synthetic45,synthetic_test_043,SASB-N-random-source,0.2558429118773946,5,1.8809042000000034,20260513,64,145,finished
synthetic45,synthetic_test_043,SASB-N-random-source,0.2522988505747127,5,1.911908100000005,20260514,64,145,finished
synthetic45,synthetic_test_043,SASB-N-random-source,0.24645593869731802,5,1.858934999999974,20260515,64,145,finished
synthetic45,synthetic_test_043,SASB-N-random-source,0.2534961685823755,5,1.773392599999994,20260516,64,145,finished
synthetic45,synthetic_test_043,SASB-N-random-source,0.26048850574712645,5,1.7947272000000112,20260517,64,145,finished
