active_source_count,actual_remove_ratio,checkpoint_step,checkpoint_target_ratio,current_gcc_node_count,dataset_group,exact_m5_score_at_removed,exact_m5_score_mean,graph_id,graph_name,kendall_rank_correlation,method,pearson_score_correlation,precision_at_10pct,precision_at_1pct,precision_at_5pct,recall_at_10pct,recall_at_1pct,recall_at_5pct,removed_node,removed_node_m5_rank,removed_node_m5_rank_percentile,removed_node_m5_top_10pct,removed_node_m5_top_1pct,removed_node_m5_top_5pct,sampled_score_at_removed,sampled_score_mean,seed,source_budget,source_set_hash,spearman_rank_correlation,top_10pct_overlap,top_1pct_overlap,top_5pct_overlap
2,0.4952380952380953,52,0.5,2,synthetic45,0.0,0.0,synthetic_test_034,synthetic_test_034,0.0,SASB-N-structured,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13,1,0.0,True,True,True,0.0,0.0,20260515,64,c9f18c83b24d5887,0.0,1.0,1.0,1.0
64,0.0,0,0.0,105,synthetic45,1067.8261801078745,72.45714285714288,synthetic_test_034,synthetic_test_034,0.8663003663003661,SASB-N-structured,0.9895000857979004,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0,1,0.0,True,True,True,1179.8258371946781,83.00952380952383,20260516,64,d3ec441e9d16ff42,0.9726726104084594,1.0,1.0,0.8333333333333334
64,0.10476190476190476,11,0.1,92,synthetic45,548.3829077355393,101.38043478260867,synthetic_test_034,synthetic_test_034,0.8673371647509579,SASB-N-structured,0.9737038876805874,0.8,1.0,0.6,0.8,1.0,0.6,5,1,0.0,True,True,True,574.0542187344819,129.3913043478261,20260516,64,df4cbf61f5f588ba,0.9682918933917036,0.8,1.0,0.6
64,0.2,21,0.2,81,synthetic45,622.8095238095239,149.1728395061728,synthetic_test_034,synthetic_test_034,0.9192683695994954,SASB-N-structured,0.9931064883094516,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,86,1,0.0,True,True,True,973.2023809523813,223.93827160493825,20260516,64,7bc4ab4c3b3f7a95,0.98581624561006,0.8888888888888888,1.0,1.0
23,0.29523809523809524,31,0.3,23,synthetic45,103.5,30.347826086956523,synthetic_test_034,synthetic_test_034,1.0,SASB-N-structured,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,1,0.0,True,True,True,207.0,60.69565217391305,20260516,64,b873d81d1ee1d1d0,1.0,1.0,1.0,1.0
2,0.4952380952380953,52,0.5,2,synthetic45,0.0,0.0,synthetic_test_034,synthetic_test_034,0.0,SASB-N-structured,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13,1,0.0,True,True,True,0.0,0.0,20260516,64,c9f18c83b24d5887,0.0,1.0,1.0,1.0
64,0.0,0,0.0,105,synthetic45,1067.8261801078745,72.45714285714288,synthetic_test_034,synthetic_test_034,0.8721611721611721,SASB-N-structured,0.9880345973410036,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0,1,0.0,True,True,True,1478.5752163326513,81.09523809523809,20260517,64,8f5c4d6abb18c33f,0.9702260004146795,1.0,1.0,0.8333333333333334
64,0.10476190476190476,11,0.1,93,synthetic45,501.2970075246391,104.93548387096779,synthetic_test_034,synthetic_test_034,0.8691062631949332,SASB-N-structured,0.9814047497043302,0.8,1.0,1.0,0.8,1.0,1.0,10,1,0.0,True,True,True,673.5002726805359,130.65591397849465,20260517,64,b63c72e423c260a7,0.9688528382422076,0.8,1.0,1.0
64,0.2,21,0.2,81,synthetic45,622.8095238095239,149.1728395061728,synthetic_test_034,synthetic_test_034,0.9198990854619994,SASB-N-structured,0.9923670701777174,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,86,1,0.0,True,True,True,979.8690476190477,224.3086419753087,20260517,64,8363da11561a0376,0.985725614591594,0.8888888888888888,1.0,1.0
23,0.29523809523809524,31,0.3,23,synthetic45,103.5,30.347826086956523,synthetic_test_034,synthetic_test_034,1.0,SASB-N-structured,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,1,0.0,True,True,True,207.0,60.69565217391305,20260517,64,b873d81d1ee1d1d0,1.0,1.0,1.0,1.0
2,0.4952380952380953,52,0.5,2,synthetic45,0.0,0.0,synthetic_test_034,synthetic_test_034,0.0,SASB-N-structured,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13,1,0.0,True,True,True,0.0,0.0,20260517,64,c9f18c83b24d5887,0.0,1.0,1.0,1.0
64,0.0,0,0.0,105,synthetic45,1067.8261801078745,72.45714285714288,synthetic_test_034,synthetic_test_034,0.8534798534798533,SASB-N-random-source,0.9953785998953709,1.0,0.5,0.8333333333333334,1.0,0.5,0.8333333333333334,0,1,0.0,True,True,True,1333.9201044549616,88.81904761904767,20260513,64,1992eb67e3c8fb22,0.9641302094132282,1.0,0.5,0.8333333333333334
64,0.10476190476190476,11,0.1,92,synthetic45,548.3829077355393,101.38043478260867,synthetic_test_034,synthetic_test_034,0.9075670498084292,SASB-N-random-source,0.9865409365787646,0.7,1.0,0.6,0.7,1.0,0.6,5,1,0.0,True,True,True,748.7740405793036,138.8260869565218,20260513,64,f8fb17858227c630,0.9840303361953352,0.7,1.0,0.6
64,0.2,21,0.2,79,synthetic45,497.08333333333366,141.59493670886073,synthetic_test_034,synthetic_test_034,0.9354573947799896,SASB-N-random-source,0.9933271910900716,0.875,1.0,0.75,0.875,1.0,0.75,11,1,0.0,True,True,True,903.421428571429,232.4810126582278,20260513,64,e346ddc4fc2b7b2e,0.9913395376801476,0.875,1.0,0.75
29,0.29523809523809524,31,0.3,29,synthetic45,214.0,56.620689655172406,synthetic_test_034,synthetic_test_034,1.0,SASB-N-random-source,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41,1,0.0,True,True,True,428.0,113.24137931034485,20260513,64,f8660090057d2834,0.9999999999999998,1.0,1.0,1.0
2,0.4952380952380953,52,0.5,2,synthetic45,0.0,0.0,synthetic_test_034,synthetic_test_034,0.0,SASB-N-random-source,0.0,1.0,1.0,1.0,1.0,1.0,1.0,44,1,0.0,True,True,True,0.0,0.0,20260513,64,35fdc14b173a4b38,0.0,1.0,1.0,1.0
64,0.0,0,0.0,105,synthetic45,1067.8261801078745,72.45714285714288,synthetic_test_034,synthetic_test_034,0.8384615384615384,SASB-N-random-source,0.9945056337899888,1.0,0.5,1.0,1.0,0.5,1.0,0,1,0.0,True,True,True,1379.0210834458294,88.13333333333323,20260514,64,f4ac4b5a3178e30a,0.9579203815052872,1.0,0.5,1.0
64,0.10476190476190476,11,0.1,92,synthetic45,548.3829077355393,101.38043478260867,synthetic_test_034,synthetic_test_034,0.899425287356322,SASB-N-random-source,0.9859896044331484,0.7,1.0,0.8,0.7,1.0,0.8,5,1,0.0,True,True,True,790.3381025407341,140.03260869565213,20260514,64,9bc3eb9b7568a8ad,0.9804541180460284,0.7,1.0,0.8
