dataset_group,graph_id,initial_source_jaccard,left_label,left_method,left_source_count,right_label,right_method,right_source_count,seed
realworld_completed,bio_diseasome,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_diseasome,0.07563025210084033,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,bio_diseasome,0.06666666666666667,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_diseasome,0.47126436781609193,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_diseasome,0.06666666666666667,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260516
realworld_completed,bio_diseasome,0.47126436781609193,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,bio_diseasome,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_diseasome,0.04918032786885246,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,bio_diseasome,0.06666666666666667,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_diseasome,0.47126436781609193,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_diseasome,0.04065040650406504,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260517
realworld_completed,bio_diseasome,0.4222222222222222,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,bio_diseasome,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,bio_diseasome,0.06666666666666667,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,bio_diseasome,0.04065040650406504,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,bio_diseasome,0.4222222222222222,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,bio_grid_plant,0.024,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260513
realworld_completed,bio_grid_plant,0.21904761904761905,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,bio_grid_plant,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,bio_grid_plant,0.007874015748031496,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,bio_grid_plant,0.024,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260513
