dataset,graph_id,graph_name,graph_type,community_strength,method,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,46,46,0.016874541452677916,0.8490566037735849,1080
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,47,47,0.017241379310344827,0.8490566037735849,1080
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,48,48,0.01760821716801174,0.8490566037735849,1080
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,49,49,0.01797505502567865,0.8490566037735849,1080
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,50,50,0.018341892883345562,0.8490566037735849,1080
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,51,51,0.018708730741012473,0.8490566037735849,1080
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,52,52,0.019075568598679385,0.8490566037735849,1080
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,53,53,0.019442406456346296,0.8490566037735849,1080
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,54,54,0.019809244314013204,0.8490566037735849,1080
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,55,55,0.020176082171680116,0.8490566037735849,1080
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,56,56,0.020542920029347028,0.8490566037735849,1080
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,57,57,0.02090975788701394,0.8278301886792453,1053
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,58,58,0.02127659574468085,0.8278301886792453,1053
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,59,59,0.021643433602347762,0.8278301886792453,1053
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,60,60,0.022010271460014674,0.8026729559748428,1021
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,61,61,0.022377109317681585,0.8026729559748428,1021
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,62,62,0.022743947175348497,0.8026729559748428,1021
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,63,63,0.023110785033015408,0.8026729559748428,1021
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,64,64,0.02347762289068232,0.8026729559748428,1021
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,65,65,0.02384446074834923,0.8026729559748428,1021
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,66,66,0.02421129860601614,0.8026729559748428,1021
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,67,67,0.02457813646368305,0.7955974842767296,1012
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,68,68,0.024944974321349962,0.7861635220125787,1000
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,69,69,0.025311812179016874,0.7861635220125787,1000
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,70,70,0.025678650036683785,0.7861635220125787,1000
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,71,71,0.026045487894350697,0.7861635220125787,1000
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,72,72,0.02641232575201761,0.7861635220125787,1000
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,73,73,0.02677916360968452,0.7861635220125787,1000
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,74,74,0.02714600146735143,0.7861635220125787,1000
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,75,75,0.027512839325018343,0.7861635220125787,1000
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,76,76,0.027879677182685254,0.7861635220125787,1000
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,77,77,0.028246515040352166,0.7861635220125787,1000
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,78,78,0.028613352898019074,0.7861635220125787,1000
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,79,79,0.028980190755685985,0.7696540880503144,979
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,80,80,0.029347028613352897,0.7696540880503144,979
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,81,81,0.02971386647101981,0.7696540880503144,979
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,82,82,0.03008070432868672,0.7696540880503144,979
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,83,83,0.03044754218635363,0.7696540880503144,979
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,84,84,0.030814380044020543,0.7696540880503144,979
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,85,85,0.031181217901687455,0.7696540880503144,979
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,86,86,0.03154805575935436,0.7696540880503144,979
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,87,87,0.031914893617021274,0.7665094339622641,975
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,88,88,0.032281731474688186,0.7665094339622641,975
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,89,89,0.0326485693323551,0.7665094339622641,975
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,90,90,0.03301540719002201,0.7665094339622641,975
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,91,91,0.03338224504768892,0.7665094339622641,975
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,92,92,0.03374908290535583,0.7665094339622641,975
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,93,93,0.03411592076302274,0.7665094339622641,975
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,94,94,0.034482758620689655,0.7665094339622641,975
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,95,95,0.034849596478356566,0.7665094339622641,975
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,96,96,0.03521643433602348,0.7665094339622641,975
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,97,97,0.03558327219369039,0.7665094339622641,975
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,98,98,0.0359501100513573,0.7665094339622641,975
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,99,99,0.03631694790902421,0.7586477987421384,965
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,100,100,0.036683785766691124,0.7586477987421384,965
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,101,101,0.037050623624358035,0.7586477987421384,965
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,102,102,0.03741746148202495,0.7586477987421384,965
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,103,103,0.03778429933969186,0.7586477987421384,965
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,104,104,0.03815113719735877,0.7586477987421384,965
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,105,105,0.03851797505502568,0.7586477987421384,965
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,106,106,0.03888481291269259,0.7586477987421384,965
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,107,107,0.039251650770359504,0.7586477987421384,965
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,108,108,0.03961848862802641,0.7586477987421384,965
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,109,109,0.03998532648569332,0.7397798742138365,941
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,110,110,0.04035216434336023,0.7397798742138365,941
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,111,111,0.040719002201027144,0.7374213836477987,938
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,112,112,0.041085840058694055,0.7374213836477987,938
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,113,113,0.04145267791636097,0.7374213836477987,938
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,114,114,0.04181951577402788,0.7374213836477987,938
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,115,115,0.04218635363169479,0.7374213836477987,938
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,116,116,0.0425531914893617,0.7374213836477987,938
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,117,117,0.04292002934702861,0.7374213836477987,938
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,118,118,0.043286867204695524,0.7374213836477987,938
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,119,119,0.043653705062362436,0.7374213836477987,938
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,120,120,0.04402054292002935,0.7374213836477987,938
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,121,121,0.04438738077769626,0.7374213836477987,938
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,122,122,0.04475421863536317,0.7374213836477987,938
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,123,123,0.04512105649303008,0.7374213836477987,938
