dataset_group,graph_id,graph_name,graph_type,method,seed,source_budget,source_policy,status,auc,normalized_auc,observed_remove_ratio,final_gcc_ratio,runtime_seconds,current_gcc_node_count,active_source_count,effective_source_fraction,community_count,boundary_source_fraction,source_set_hash,source_set_scope,removed_nodes,remove_ratio_gcc_le_0.5,remove_ratio_gcc_le_0.2,remove_ratio_gcc_le_0.1,mean_effective_source_fraction,mean_boundary_source_fraction,mean_cross_community_source_fraction,mean_active_source_count,spearman_with_m5,top_1pct_m5_hit_rate,top_5pct_m5_hit_rate,top_10pct_m5_hit_rate
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,dynamic-closeness,20260513,16,none,finished,0.0879859070508603,0.0879859070508603,1.0,0.0,3.816217200015672,453,,,,,,none,453,0.0883002207505518,0.0949227373068432,0.1147902869757174,,,,,0.845089369506785,0.8,0.8260869565217391,0.8478260869565217
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,dynamic-degree,20260513,16,none,finished,0.0988577499037566,0.0988577499037566,1.0,0.0,0.563812600041274,453,,,,,,none,453,0.108167770419426,0.1258278145695364,0.1324503311258278,,,,,0.752548149498322,0.8,0.9130434782608695,0.717391304347826
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,dynamic-k-core,20260513,16,none,finished,0.1005974396834446,0.1005974396834446,1.0,0.0,0.5347607000148855,453,,,,,,none,453,0.108167770419426,0.1280353200883002,0.1390728476821192,,,,,0.733138090739656,0.8,0.8260869565217391,0.6521739130434783
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,M5,20260513,16,none,finished,0.0775672606951937,0.0775672606951937,1.0,0.0,11.438882899994496,453,,,,,,none,453,0.0772626931567329,0.0927152317880794,0.1059602649006622,,,,,1.0,1.0,1.0,1.0
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,random,20260513,16,none,finished,0.446171951522594,0.446171951522594,1.0,0.0,1.6302005999605171,453,,,,,,none,453,0.4525386313465783,0.7108167770419426,0.7792494481236203,,,,,0.04278766354590052,0.0,0.08695652173913043,0.08695652173913043
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,random,20260514,16,none,finished,0.4387502497453815,0.4387502497453815,1.0,0.0,1.7035187000292351,453,,,,,,none,453,0.4635761589403973,0.6821192052980133,0.7571743929359823,,,,,0.09395758295056336,0.0,0.08695652173913043,0.15217391304347827
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,random,20260515,16,none,finished,0.4482332646228966,0.4482332646228966,1.0,0.0,1.6386695000110194,453,,,,,,none,453,0.4437086092715231,0.7130242825607064,0.7991169977924945,,,,,0.06741446120505482,0.0,0.0,0.10869565217391304
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,random,20260516,16,none,finished,0.385019662880283,0.385019662880283,1.0,0.0,1.4055761999916283,453,,,,,,none,453,0.3885209713024282,0.6048565121412803,0.6821192052980133,,,,,0.11446257339669705,0.0,0.08695652173913043,0.13043478260869565
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,random,20260517,16,none,finished,0.4079816187399188,0.4079816187399188,1.0,0.0,1.5310997000196949,453,,,,,,none,453,0.4282560706401766,0.6225165562913907,0.673289183222958,,,,,0.03342897957065563,0.0,0.13043478260869565,0.13043478260869565
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,SASB-N-degree-source,20260513,128,SASB-N-degree-source,finished,0.0785077652539606,0.0785077652539606,1.0,0.0,4.630701199988835,453,128.0,0.282560706401766,10.0,0.96875,a2ff2100de4cfa7f,dynamic_current_gcc,453,0.0772626931567329,0.0905077262693156,0.1059602649006622,0.9188518272863568,0.1398822611713082,0.1398822611713082,51.52538631346578,0.992701574186979,1.0,1.0,0.9347826086956522
