dataset_group,source_budget,method,graph_count,run_count,mean_normalized_auc,median_normalized_auc,mean_runtime_seconds,mean_effective_source_fraction,mean_boundary_source_fraction
realworld_completed,16,SASB-N-degree-source,12,60,0.11795725451527098,0.06632960866579404,19.778646266666087,0.46049029555230747,0.21950257937847814
realworld_completed,16,SASB-N-frozen-source,12,60,0.12574135918664353,0.0711034119047599,21.065048358335204,0.01732398751139758,0.6537525533676731
realworld_completed,16,SASB-N-random-source,12,60,0.11076678197543678,0.06844353323690194,17.93013957833658,0.4627850425771577,0.16394186679235295
realworld_completed,16,SASB-N-structured,12,60,0.11739641681924112,0.0665194748887139,22.63367170167039,0.4607218508300131,0.2343229220740112
realworld_completed,32,SASB-N-degree-source,12,60,0.11570604776684255,0.0667673893836093,24.170477198338027,0.5579097977370945,0.20620035541534149
realworld_completed,32,SASB-N-frozen-source,12,60,0.12413650241350446,0.07173643840947325,16.10538306500094,0.04006783701645045,0.506919542297672
realworld_completed,32,SASB-N-random-source,12,60,0.108796449800384,0.06709028289647305,19.064826868328964,0.5620724428982325,0.1626279967499828
realworld_completed,32,SASB-N-structured,12,60,0.11327192185167875,0.0662643043598216,23.100746670003478,0.5603699328003108,0.21665980167863702
realworld_completed,64,SASB-N-degree-source,12,60,0.11093287292503934,0.06625946700382365,23.21224880833116,0.6703606860979348,0.18979370088731376
realworld_completed,64,SASB-N-frozen-source,12,60,0.11760404944306516,0.06712172571045975,18.140914493333298,0.10816435884069538,0.26138723287873605
realworld_completed,64,SASB-N-random-source,12,60,0.10819091172759844,0.0673611748323587,24.340848103330547,0.6700324498948358,0.16208816142935525
realworld_completed,64,SASB-N-structured,12,60,0.11066556207682278,0.06637677288677415,27.64153114167566,0.6696801123697419,0.20327149127624317
realworld_completed,128,SASB-N-degree-source,12,60,0.1088428818725989,0.0669306501485404,31.393752580003603,0.7757690986361045,0.18355332129364488
realworld_completed,128,SASB-N-frozen-source,12,60,0.11139493223245124,0.0672329848984128,23.00134305666679,0.3148950693005783,0.23885581672119946
realworld_completed,128,SASB-N-random-source,12,60,0.10831406420076134,0.06634653941178689,30.37437672999901,0.775174657974785,0.1618591947633072
realworld_completed,128,SASB-N-structured,12,60,0.10982081256474183,0.0663102592418022,35.401917015002496,0.7746048546314958,0.19237077055873478
synthetic45,16,SASB-N-degree-source,12,60,0.2779459412463774,0.30068875996746025,1.0483057316673998,0.5957548403190895,0.3922568014468572
synthetic45,16,SASB-N-frozen-source,12,60,0.2939655095194699,0.3152002933555508,1.0153820383381875,0.07189199702732618,0.5573408255314457
synthetic45,16,SASB-N-random-source,12,60,0.2604877068179721,0.27813625031049505,0.9802828850030588,0.5960244717683668,0.3120699719991475
synthetic45,16,SASB-N-structured,12,60,0.27971012287752495,0.3013479093991974,1.0851881383336148,0.5888520539927932,0.43433773099766937
synthetic45,32,SASB-N-degree-source,12,60,0.2665168876282554,0.2837599785337312,1.2014205416674182,0.743995670937898,0.35976900503618997
synthetic45,32,SASB-N-frozen-source,12,60,0.27646070856777244,0.29294733175887605,1.0893294650013559,0.13990325725915417,0.4803202949233736
synthetic45,32,SASB-N-random-source,12,60,0.25828720559786844,0.2745340225090427,1.1545427216692283,0.7449837878553035,0.31163588595126274
synthetic45,32,SASB-N-structured,12,60,0.26743354357757876,0.28245172566490817,1.1977623066612675,0.7408249050487373,0.3972054508242195
synthetic45,64,SASB-N-degree-source,12,60,0.26240746127144143,0.2768955504467224,1.5297165433332944,0.8599158809947276,0.33442657059638153
synthetic45,64,SASB-N-frozen-source,12,60,0.26033031881934415,0.2689429363223249,1.2576838699994066,0.3309108249140291,0.3901343383077297
synthetic45,64,SASB-N-random-source,12,60,0.2549316747839252,0.26628075795418155,1.4448469383273428,0.8672359374422258,0.3100097036681191
synthetic45,64,SASB-N-structured,12,60,0.25885218849250824,0.2689327321084023,1.4893280666622255,0.8631506490094442,0.35964160067456424
synthetic45,128,SASB-N-degree-source,12,60,0.2552909846793403,0.2658695292645046,2.0062585033350238,0.9726241942871258,0.31218308539322226
synthetic45,128,SASB-N-frozen-source,12,60,0.25647749025517486,0.26352907244654555,1.793463219992312,0.7876613581175158,0.3295956967439782
synthetic45,128,SASB-N-random-source,12,60,0.25354663652195764,0.26477418746454295,1.9688543500010078,0.9733922891756726,0.3093939136720454
synthetic45,128,SASB-N-structured,12,60,0.2554580735554011,0.26281835781072554,2.2183363633337043,0.9725446391365258,0.3209475217265848
