dataset_label,dataset,graph_id,method,gcc_at_5pct,gcc_at_10pct,gcc_at_20pct,gcc_at_40pct,first_positive_drop_step
synthetic45,synthetic45,synthetic_test_000,M5,0.9492753623188406,0.8768115942028986,0.855072463768116,0.5362318840579711,2
synthetic45,synthetic45,synthetic_test_000,SASB,1.0,1.0,0.9057971014492754,0.5434782608695652,71
synthetic45,synthetic45,synthetic_test_001,M5,1.0,0.8762376237623762,0.5247524752475248,0.0792079207920792,65
synthetic45,synthetic45,synthetic_test_001,SASB,1.0,0.8861386138613861,0.5544554455445545,0.0792079207920792,100
synthetic45,synthetic45,synthetic_test_002,M5,0.9647058823529412,0.8941176470588236,0.7058823529411765,0.2705882352941176,3
synthetic45,synthetic45,synthetic_test_002,SASB,1.0,1.0,0.8,0.3294117647058823,32
synthetic45,synthetic45,synthetic_test_003,M5,0.9766355140186916,0.9532710280373832,0.883177570093458,0.7196261682242991,4
synthetic45,synthetic45,synthetic_test_003,SASB,1.0,1.0,1.0,0.6822429906542056,370
synthetic45,synthetic45,synthetic_test_004,M5,1.0,0.875,0.875,0.3846153846153846,18
synthetic45,synthetic45,synthetic_test_004,SASB,1.0,0.9326923076923076,0.9326923076923076,0.3365384615384616,20
synthetic45,synthetic45,synthetic_test_005,M5,1.0,1.0,0.6368159203980099,0.1691542288557214,94
synthetic45,synthetic45,synthetic_test_005,SASB,1.0,1.0,0.8457711442786071,0.1592039800995024,101
synthetic45,synthetic45,synthetic_test_006,M5,0.6415094339622641,0.2452830188679245,0.1792452830188679,0.1226415094339622,6
synthetic45,synthetic45,synthetic_test_006,SASB,0.8301886792452831,0.3962264150943397,0.1698113207547169,0.1132075471698113,6
synthetic45,synthetic45,synthetic_test_007,M5,0.979591836734694,0.9523809523809524,0.8707482993197279,0.6870748299319728,9
synthetic45,synthetic45,synthetic_test_007,SASB,1.0,1.0,1.0,0.7006802721088435,176
synthetic45,synthetic45,synthetic_test_008,M5,0.9352517985611508,0.9352517985611508,0.4964028776978418,0.1366906474820144,2
synthetic45,synthetic45,synthetic_test_008,SASB,1.0,0.7985611510791367,0.60431654676259,0.1294964028776978,22
synthetic45,synthetic45,synthetic_test_009,M5,1.0,1.0,1.0,0.1988636363636363,76
synthetic45,synthetic45,synthetic_test_009,SASB,1.0,1.0,0.8522727272727273,0.1761363636363636,44
synthetic45,synthetic45,synthetic_test_010,M5,0.9591836734693876,0.9591836734693876,0.7346938775510204,0.1836734693877551,3
synthetic45,synthetic45,synthetic_test_010,SASB,1.0,1.0,0.8877551020408163,0.2959183673469388,23
synthetic45,synthetic45,synthetic_test_011,M5,0.8136363636363636,0.2272727272727273,0.1863636363636364,0.15,31
synthetic45,synthetic45,synthetic_test_011,SASB,0.8136363636363636,0.2272727272727273,0.2045454545454545,0.1409090909090909,33
synthetic45,synthetic45,synthetic_test_012,M5,0.9269662921348316,0.8988764044943821,0.8539325842696629,0.4719101123595506,7
synthetic45,synthetic45,synthetic_test_012,SASB,1.0,1.0,0.8595505617977528,0.4325842696629213,62
synthetic45,synthetic45,synthetic_test_013,M5,0.7414965986394558,0.3673469387755102,0.1156462585034013,0.0340136054421768,10
synthetic45,synthetic45,synthetic_test_013,SASB,0.8503401360544217,0.4489795918367347,0.1020408163265306,0.0408163265306122,9
synthetic45,synthetic45,synthetic_test_014,M5,1.0,0.8452380952380952,0.7559523809523809,0.1309523809523809,79
synthetic45,synthetic45,synthetic_test_014,SASB,1.0,1.0,0.5297619047619048,0.125,122
synthetic45,synthetic45,synthetic_test_015,M5,1.0,0.7378640776699029,0.3009708737864077,0.2135922330097087,24
synthetic45,synthetic45,synthetic_test_015,SASB,1.0,0.7864077669902912,0.3300970873786408,0.203883495145631,20
synthetic45,synthetic45,synthetic_test_016,M5,0.7754010695187166,0.5935828877005348,0.0909090909090909,0.0320855614973262,17
synthetic45,synthetic45,synthetic_test_016,SASB,0.9090909090909092,0.5133689839572193,0.0909090909090909,0.0320855614973262,10
synthetic45,synthetic45,synthetic_test_017,M5,0.9576271186440678,0.923728813559322,0.8305084745762712,0.6694915254237288,2
synthetic45,synthetic45,synthetic_test_017,SASB,1.0,1.0,1.0,0.7457627118644068,173
synthetic45,synthetic45,synthetic_test_018,M5,0.953757225433526,0.9132947976878611,0.8439306358381503,0.6994219653179191,3
synthetic45,synthetic45,synthetic_test_018,SASB,1.0,1.0,1.0,0.7109826589595376,278
synthetic45,synthetic45,synthetic_test_019,M5,0.9791666666666666,0.9666666666666668,0.8708333333333333,0.6583333333333333,26
synthetic45,synthetic45,synthetic_test_019,SASB,1.0,1.0,1.0,0.6041666666666666,349
synthetic45,synthetic45,synthetic_test_020,M5,0.8022598870056498,0.4745762711864407,0.1751412429378531,0.0903954802259887,15
synthetic45,synthetic45,synthetic_test_020,SASB,0.8022598870056498,0.6497175141242938,0.1751412429378531,0.1016949152542373,16
synthetic45,synthetic45,synthetic_test_021,M5,0.9856115107913668,0.920863309352518,0.8273381294964028,0.60431654676259,10
synthetic45,synthetic45,synthetic_test_021,SASB,1.0,1.0,1.0,0.6402877697841727,99
synthetic45,synthetic45,synthetic_test_022,M5,0.9701492537313432,0.9502487562189056,0.8855721393034826,0.7114427860696517,15
synthetic45,synthetic45,synthetic_test_022,SASB,1.0,1.0,1.0,0.6567164179104478,310
synthetic45,synthetic45,synthetic_test_023,M5,0.970414201183432,0.9171597633136096,0.8875739644970414,0.2011834319526627,14
synthetic45,synthetic45,synthetic_test_023,SASB,1.0,1.0,0.8224852071005917,0.1538461538461538,59
synthetic45,synthetic45,synthetic_test_024,M5,0.9615384615384616,0.9182692307692308,0.8413461538461539,0.6826923076923077,2
synthetic45,synthetic45,synthetic_test_024,SASB,1.0,1.0,1.0,0.5865384615384616,243
synthetic45,synthetic45,synthetic_test_025,M5,1.0,1.0,0.4461538461538462,0.1538461538461538,16
synthetic45,synthetic45,synthetic_test_025,SASB,1.0,1.0,0.5384615384615384,0.1692307692307692,17
synthetic45,synthetic45,synthetic_test_026,M5,0.9774436090225564,0.9398496240601504,0.8872180451127819,0.6992481203007519,4
synthetic45,synthetic45,synthetic_test_026,SASB,1.0,1.0,1.0,0.5037593984962406,177
synthetic45,synthetic45,synthetic_test_027,M5,1.0,0.8125,0.4910714285714286,0.1339285714285714,59
synthetic45,synthetic45,synthetic_test_027,SASB,1.0,0.8080357142857143,0.3214285714285714,0.1383928571428571,65
synthetic45,synthetic45,synthetic_test_028,M5,1.0,1.0,0.9208333333333332,0.6708333333333333,97
synthetic45,synthetic45,synthetic_test_028,SASB,1.0,1.0,1.0,0.6833333333333333,165
synthetic45,synthetic45,synthetic_test_029,M5,1.0,0.9738219895287958,0.8900523560209425,0.6544502617801047,55
synthetic45,synthetic45,synthetic_test_029,SASB,1.0,1.0,1.0,0.5759162303664922,212
synthetic45,synthetic45,synthetic_test_030,M5,0.9934640522875816,0.934640522875817,0.8627450980392157,0.6666666666666666,2
synthetic45,synthetic45,synthetic_test_030,SASB,1.0,1.0,1.0,0.3856209150326797,137
synthetic45,synthetic45,synthetic_test_031,M5,1.0,0.7554347826086957,0.2228260869565217,0.0489130434782608,31
synthetic45,synthetic45,synthetic_test_031,SASB,0.7717391304347826,0.625,0.1902173913043478,0.0489130434782608,24
synthetic45,synthetic45,synthetic_test_032,M5,0.9747899159663864,0.9747899159663864,0.9159663865546218,0.4957983193277311,14
synthetic45,synthetic45,synthetic_test_032,SASB,1.0,1.0,1.0,0.5882352941176471,74
synthetic45,synthetic45,synthetic_test_033,M5,0.8907103825136612,0.7868852459016393,0.5245901639344263,0.0546448087431694,20
synthetic45,synthetic45,synthetic_test_033,SASB,1.0,0.8142076502732241,0.2185792349726776,0.0546448087431694,33
synthetic45,synthetic45,synthetic_test_034,M5,1.0,0.9428571428571428,0.8285714285714286,0.5904761904761905,22
synthetic45,synthetic45,synthetic_test_034,SASB,1.0,1.0,0.7904761904761904,0.6,78
synthetic45,synthetic45,synthetic_test_035,M5,0.9842519685039368,0.937007874015748,0.84251968503937,0.6220472440944882,30
synthetic45,synthetic45,synthetic_test_035,SASB,1.0,1.0,1.0,0.6456692913385826,201
synthetic45,synthetic45,synthetic_test_036,M5,1.0,0.6666666666666666,0.1689497716894977,0.1278538812785388,55
synthetic45,synthetic45,synthetic_test_036,SASB,1.0,0.6621004566210046,0.1735159817351598,0.1232876712328767,59
synthetic45,synthetic45,synthetic_test_037,M5,1.0,1.0,0.6612903225806451,0.1612903225806451,35
synthetic45,synthetic45,synthetic_test_037,SASB,1.0,1.0,0.6129032258064516,0.1612903225806451,35
synthetic45,synthetic45,synthetic_test_038,M5,0.9790209790209792,0.944055944055944,0.8811188811188811,0.7412587412587412,5
synthetic45,synthetic45,synthetic_test_038,SASB,1.0,1.0,1.0,0.5104895104895105,203
synthetic45,synthetic45,synthetic_test_039,M5,0.952,0.952,0.8320000000000001,0.52,1
synthetic45,synthetic45,synthetic_test_039,SASB,1.0,1.0,1.0,0.4,85
synthetic45,synthetic45,synthetic_test_040,M5,1.0,0.972972972972973,0.8918918918918919,0.6554054054054054,35
synthetic45,synthetic45,synthetic_test_040,SASB,1.0,1.0,1.0,0.5743243243243243,181
synthetic45,synthetic45,synthetic_test_041,M5,0.9659863945578232,0.9455782312925172,0.8095238095238095,0.6258503401360545,27
synthetic45,synthetic45,synthetic_test_041,SASB,1.0,1.0,0.7619047619047619,0.2585034013605442,89
synthetic45,synthetic45,synthetic_test_042,M5,1.0,1.0,0.7222222222222222,0.1269841269841269,103
synthetic45,synthetic45,synthetic_test_042,SASB,1.0,1.0,0.6904761904761905,0.119047619047619,82
synthetic45,synthetic45,synthetic_test_043,M5,1.0,0.8620689655172413,0.7379310344827587,0.1655172413793103,29
synthetic45,synthetic45,synthetic_test_043,SASB,1.0,1.0,0.8068965517241379,0.193103448275862,44
synthetic45,synthetic45,synthetic_test_044,M5,0.9842519685039368,0.9842519685039368,0.9212598425196852,0.4173228346456693,1
synthetic45,synthetic45,synthetic_test_044,SASB,1.0,1.0,0.8346456692913385,0.5275590551181102,64
realworld_completed_24of28,realworld_completed,bio_celegans,M5,0.933774834437086,0.8785871964679912,0.8785871964679912,0.3708609271523179,8
realworld_completed_24of28,realworld_completed,bio_celegans,SASB,1.0,1.0,0.7991169977924945,0.2980132450331126,318
realworld_completed_24of28,realworld_completed,bio_celegans_dir,M5,0.933774834437086,0.8785871964679912,0.8785871964679912,0.3708609271523179,8
realworld_completed_24of28,realworld_completed,bio_celegans_dir,SASB,1.0,1.0,0.8344370860927153,0.260485651214128,346
realworld_completed_24of28,realworld_completed,bio_celegansneural,M5,0.9393939393939394,0.936026936026936,0.6262626262626263,0.3468013468013468,51
realworld_completed_24of28,realworld_completed,bio_celegansneural,SASB,1.0,1.0,0.6902356902356902,0.3097643097643097,406
realworld_completed_24of28,realworld_completed,bio_diseasome,M5,0.2344961240310077,0.1240310077519379,0.0348837209302325,0.0155038759689922,3
realworld_completed_24of28,realworld_completed,bio_diseasome,SASB,0.2170542635658914,0.1124031007751938,0.0348837209302325,0.0155038759689922,3
realworld_completed_24of28,realworld_completed,bio_grid_mouse,M5,0.2541087231352718,0.2541087231352718,0.0581542351453855,0.0164348925410872,4
realworld_completed_24of28,realworld_completed,bio_grid_mouse,SASB,0.3211125158027813,0.2566371681415929,0.0771175726927939,0.0151706700379266,5
realworld_completed_24of28,realworld_completed,bio_grid_plant,M5,0.0904088050314465,0.0573899371069182,0.0267295597484276,0.0133647798742138,9
realworld_completed_24of28,realworld_completed,bio_grid_plant,SASB,0.085691823899371,0.0621069182389937,0.0314465408805031,0.0117924528301886,6
realworld_completed_24of28,realworld_completed,bio_sc_ts,M5,0.9850746268656716,0.9552238805970148,0.8955223880597015,0.7910447761194029,66
realworld_completed_24of28,realworld_completed,bio_sc_ts,SASB,0.9850746268656716,0.9552238805970148,0.9104477611940298,0.7910447761194029,66
realworld_completed_24of28,realworld_completed,ca_csphd,M5,0.0429268292682926,0.0224390243902439,0.0117073170731707,0.0058536585365853,3
realworld_completed_24of28,realworld_completed,ca_csphd,SASB,0.0448780487804878,0.0224390243902439,0.0117073170731707,0.0058536585365853,4
realworld_completed_24of28,realworld_completed,ca_netscience,M5,0.1926121372031662,0.1108179419525066,0.0422163588390501,0.021108179419525,7
realworld_completed_24of28,realworld_completed,ca_netscience,SASB,0.1926121372031662,0.0976253298153034,0.0422163588390501,0.021108179419525,7
realworld_completed_24of28,realworld_completed,football,M5,1.0,1.0,0.3739130434782609,0.1043478260869565,64
realworld_completed_24of28,realworld_completed,football,SASB,1.0,1.0,0.3826086956521739,0.1043478260869565,65
realworld_completed_24of28,realworld_completed,ia_email_univ,M5,0.9329214474845544,0.7855251544571933,0.7096204766107679,0.115622241835834,3
realworld_completed_24of28,realworld_completed,ia_email_univ,SASB,1.0,0.8455428067078552,0.7449249779346867,0.0962047661076787,491
realworld_completed_24of28,realworld_completed,ia_enron_only,M5,0.8811188811188811,0.8811188811188811,0.4895104895104895,0.1258741258741259,6
realworld_completed_24of28,realworld_completed,ia_enron_only,SASB,0.8951048951048951,0.7692307692307693,0.4895104895104895,0.1258741258741259,7
realworld_completed_24of28,realworld_completed,ia_infect_dublin,M5,0.7853658536585366,0.3682926829268293,0.1560975609756097,0.0658536585365853,91
realworld_completed_24of28,realworld_completed,ia_infect_dublin,SASB,0.7902439024390244,0.3268292682926829,0.1463414634146341,0.0634146341463414,71
realworld_completed_24of28,realworld_completed,ia_infect_hyper,M5,0.9203539823008848,0.8584070796460177,0.7610619469026548,0.6106194690265486,1
realworld_completed_24of28,realworld_completed,ia_infect_hyper,SASB,1.0,1.0,0.9734513274336284,0.9734513274336284,292
realworld_completed_24of28,realworld_completed,ia_radoslaw_email,M5,0.7305389221556886,0.6766467065868264,0.592814371257485,0.467065868263473,1
realworld_completed_24of28,realworld_completed,ia_radoslaw_email,SASB,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.7604790419161677,51
realworld_completed_24of28,realworld_completed,inf_euroroad,M5,0.1626564003849855,0.053897978825794,0.0182868142444658,0.0048123195380173,3
