dataset_label,dataset,graph_id,method,selected_edges,inter_community_ratio,bridge_ratio,mean_common_neighbors,median_common_neighbors,mean_edge_embeddedness,median_edge_embeddedness,mean_degree_product,mean_min_endpoint_degree,fraction_min_degree_1,fraction_min_degree_2,mean_delta_gcc,median_delta_gcc,positive_delta_gcc_rate,conditional_mean_delta_gcc,mean_num_components_after,mean_component_increase,mean_full_edge_betweenness_score,mean_sampled_betweenness_score
realworld_completed_24of28,realworld_completed,bio_celegans,M5,2025.0,0.5165432098765432,0.22320987654320987,1.6217283950617285,1.0,0.31236171301003773,0.2,471.75555555555553,6.479506172839506,0.1797530864197531,0.16987654320987655,0.0004927370343117186,0.0,0.04938271604938271,0.0099779249448123,108.77530864197531,0.22320987654320987,0.13990215468333186,
realworld_completed_24of28,realworld_completed,bio_celegans,SASB,2025.0,0.6162962962962963,0.22320987654320987,1.6217283950617285,1.0,0.3179948052896178,0.2,452.1777777777778,6.452345679012345,0.17530864197530865,0.16839506172839505,0.0004927370343117195,0.0,0.02962962962962963,0.016629874908020533,95.55802469135803,0.22320987654320987,,1228.773232878748
realworld_completed_24of28,realworld_completed,bio_celegans_dir,M5,2025.0,0.505679012345679,0.22320987654320987,1.6217283950617285,1.0,0.31233349431515234,0.2,471.75555555555553,6.479506172839506,0.1797530864197531,0.16987654320987655,0.0004927370343117186,0.0,0.04938271604938271,0.0099779249448123,108.57975308641976,0.22320987654320987,0.1399026973475145,
realworld_completed_24of28,realworld_completed,bio_celegans_dir,SASB,2025.0,0.6232098765432099,0.22320987654320987,1.6217283950617285,1.0,0.3136709440277455,0.2,449.74074074074076,6.47604938271605,0.17530864197530865,0.16444444444444445,0.0004927370343117196,0.0,0.028641975308641977,0.017203318870366073,93.46222222222222,0.22320987654320987,,1232.2446370183604
realworld_completed_24of28,realworld_completed,bio_celegansneural,M5,2148.0,0.43482309124767227,0.1378026070763501,1.5088454376163873,1.0,0.32381718868452203,0.2,191.63594040968343,6.298882681564246,0.12849162011173185,0.1196461824953445,0.0004639818420079085,0.0,0.07960893854748603,0.005828263138204605,107.20204841713222,0.1378026070763501,0.04760047708433327,
realworld_completed_24of28,realworld_completed,bio_celegansneural,SASB,2148.0,0.6815642458100558,0.1378026070763501,1.5088454376163873,1.0,0.26486422105030893,0.1666666666666666,226.731843575419,7.743016759776537,0.11359404096834265,0.09916201117318436,0.00046398184200791167,0.0,0.019553072625698324,0.023729357062690342,48.01582867783985,0.1378026070763501,,510.2301226100296
realworld_completed_24of28,realworld_completed,bio_diseasome,M5,1188.0,0.26262626262626265,0.4335016835016835,1.1447811447811447,1.0,0.42718848689616146,0.2111111111111111,37.05050505050505,3.1944444444444446,0.3383838383838384,0.23063973063973064,0.0008401195416699274,0.0,0.04882154882154882,0.017207965784549552,201.85521885521885,0.4335016835016835,0.33748955244500695,
realworld_completed_24of28,realworld_completed,bio_diseasome,SASB,1188.0,0.2786195286195286,0.4335016835016835,1.1447811447811447,1.0,0.42698473512044,0.22649572649572652,36.24074074074074,3.1936026936026938,0.33754208754208753,0.23063973063973064,0.0008401195416699273,0.0,0.047979797979797977,0.017509859921120592,200.39141414141415,0.4335016835016835,,766.3638985605912
realworld_completed_24of28,realworld_completed,bio_grid_mouse,M5,1098.0,0.2896174863387978,0.7194899817850637,0.09562841530054644,0.0,0.04253273037426043,0.0,39.7304189435337,1.8907103825136613,0.558287795992714,0.22313296903460839,0.0009095954257712526,0.0,0.075591985428051,0.012032961174660666,324.5510018214936,0.7194899817850637,0.4034472529361654,
realworld_completed_24of28,realworld_completed,bio_grid_mouse,SASB,1098.0,0.3588342440801457,0.7194899817850637,0.09562841530054644,0.0,0.04482270663964652,0.0,42.61384335154827,1.924408014571949,0.5601092896174863,0.21402550091074682,0.0009095954257712529,0.0,0.07012750455373407,0.012970594512945917,315.06102003642985,0.7194899817850637,,2200.8970918568025
realworld_completed_24of28,realworld_completed,bio_grid_plant,M5,2726.0,0.3008070432868672,0.46625091709464417,0.9086573734409391,0.0,0.25733591426016766,0.0,46.861702127659576,3.1808510638297873,0.3723404255319149,0.19845928099779897,0.00036654946312471726,0.0,0.043653705062362436,0.008396754928386383,465.6834189288335,0.46625091709464417,0.27896521300512594,
realworld_completed_24of28,realworld_completed,bio_grid_plant,SASB,2726.0,0.38664710198092445,0.46625091709464417,0.9086573734409391,0.0,0.21534813264889474,0.0,61.283198826118856,3.7182685253118124,0.3646368305209098,0.19075568598679385,0.0003665494631247181,0.0,0.03301540719002201,0.01110237596086646,433.59574468085106,0.46625091709464417,,2463.7654629497997
realworld_completed_24of28,realworld_completed,bio_sc_ts,M5,2211.0,0.0,0.029850746268656716,21.666666666666668,19.0,0.9701492537313433,1.0,1127.6666666666667,22.666666666666668,0.029850746268656716,0.02939846223428313,0.00044553352639786016,0.0,0.029850746268656716,0.014925373134328318,22.696517412935325,0.029850746268656716,0.009637167326579089,
realworld_completed_24of28,realworld_completed,bio_sc_ts,SASB,2211.0,0.0067842605156037995,0.029850746268656716,21.666666666666668,19.0,0.9685848949909253,1.0,1129.0655811849842,22.688376300316598,0.02939846223428313,0.02939846223428313,0.00044553352639786016,0.0,0.02939846223428313,0.01515499425947183,22.156942559927636,0.029850746268656716,,8.743319072172756
realworld_completed_24of28,realworld_completed,ca_csphd,M5,1043.0,0.23585810162991372,0.9817833173537871,0.003835091083413231,0.0,0.0015979546180888461,0.0,12.280920421860019,1.5743048897411314,0.7363374880153404,0.1457334611697028,0.0009578373827841786,0.0,0.07478427612655801,0.0128080050031269,505.12847555129434,0.9817833173537871,0.5764300066609731,
realworld_completed_24of28,realworld_completed,ca_csphd,SASB,1043.0,0.23777564717162034,0.9817833173537871,0.003835091083413231,0.0,0.0015979546180888461,0.0,12.26653883029722,1.5771812080536913,0.7353787152444871,0.1457334611697028,0.0009578373827841786,0.0,0.07190795781399809,0.013320325203251979,505.12847555129434,0.9817833173537871,,2221.5149118414142
realworld_completed_24of28,realworld_completed,ca_netscience,M5,914.0,0.2210065645514223,0.4135667396061269,1.0076586433260395,1.0,0.46495027523082166,0.3333333333333333,25.667396061269148,2.8041575492341355,0.33150984682713347,0.26805251641137856,0.0010912051176942647,0.0,0.053610503282275714,0.020354315868827712,155.00437636761487,0.4135667396061269,0.32606764121006826,
realworld_completed_24of28,realworld_completed,ca_netscience,SASB,914.0,0.2188183807439825,0.4135667396061269,1.0076586433260395,1.0,0.4650440545368548,0.3333333333333333,25.62691466083151,2.8052516411378554,0.33260393873085337,0.26805251641137856,0.0010912051176942643,0.0,0.05470459518599562,0.019947229551451152,155.51859956236325,0.4135667396061269,,544.7256462389236
realworld_completed_24of28,realworld_completed,football,M5,613.0,0.4159869494290375,0.1859706362153344,1.3213703099510603,1.0,0.46768494782361014,0.25,40.86296900489396,4.928221859706362,0.1631321370309951,0.13866231647634583,0.0016171359670898628,0.0,0.03915171288743882,0.041304347826086905,33.6884176182708,0.1859706362153344,0.17740944202071943,
realworld_completed_24of28,realworld_completed,football,SASB,613.0,0.4176182707993475,0.1859706362153344,1.3213703099510603,1.0,0.4704491312566353,0.2857142857142857,40.90375203915171,4.933115823817292,0.1631321370309951,0.13866231647634583,0.0016171359670898628,0.0,0.040783034257748776,0.039652173913043424,33.6557911908646,0.1859706362153344,,126.12375333630663
realworld_completed_24of28,realworld_completed,ia_email_univ,M5,5451.0,0.45771418088424143,0.20766831773986424,0.9801871216290589,0.0,0.2614787754144159,0.0,129.79416620803522,6.37387635296276,0.17464685378829573,0.14621170427444505,0.00018329065996457305,0.0,0.0432948082920565,0.004233548251978338,304.49917446340123,0.20766831773986424,0.11555248469534454,
realworld_completed_24of28,realworld_completed,ia_email_univ,SASB,5451.0,0.5872317006053935,0.20766831773986424,0.9801871216290589,0.0,0.24392757009538737,0.0,133.3491102549991,6.68611263988259,0.16584113006787746,0.13593835993395706,0.00018329065996457473,0.0,0.016327279398275545,0.011226038061425806,229.73968079251514,0.20766831773986424,,3118.7189404814294
realworld_completed_24of28,realworld_completed,ia_enron_only,M5,623.0,0.3579454253611557,0.22792937399678972,1.4269662921348314,1.0,0.43902119004277446,0.2857142857142857,60.71107544141252,4.5553772070626,0.1942215088282504,0.1781701444622793,0.001593911706271253,0.0,0.052969502407704656,0.030091121000211836,45.32744783306581,0.22792937399678972,0.16208134465427088,
realworld_completed_24of28,realworld_completed,ia_enron_only,SASB,623.0,0.42536115569823435,0.22792937399678972,1.4269662921348314,1.0,0.4309603363882941,0.2666666666666666,62.138041733547354,4.71107544141252,0.1942215088282504,0.17656500802568217,0.0015939117062712534,0.0,0.04654895666131621,0.034241620448516925,42.550561797752806,0.22792937399678972,,200.5432964472894
realworld_completed_24of28,realworld_completed,ia_infect_dublin,M5,2765.0,0.36672694394213384,0.14792043399638335,2.572875226039783,2.0,0.5302903182428176,0.5,116.32911392405063,6.5518987341772155,0.13128390596745027,0.12007233273056057,0.0003607815463326417,0.0,0.028933092224231464,0.012469512195121931,130.72875226039784,0.14792043399638335,0.10372663692258378,
realworld_completed_24of28,realworld_completed,ia_infect_dublin,SASB,2765.0,0.4918625678119349,0.14792043399638335,2.572875226039783,2.0,0.4865651522649907,0.4,125.95334538878842,7.156600361663653,0.1240506329113924,0.10849909584086799,0.00036078154633264196,0.0,0.01844484629294756,0.019560019129603045,95.87160940325498,0.14792043399638335,,578.0896483401955
realworld_completed_24of28,realworld_completed,ia_infect_hyper,M5,2196.0,0.41530054644808745,0.051001821493624776,7.680783242258652,6.0,0.657007402183934,0.7272727272727273,480.61657559198545,11.446265938069217,0.051001821493624776,0.05009107468123861,0.00045134355304092565,0.0,0.051001821493624776,0.008849557522123864,54.03233151183971,0.051001821493624776,0.011542727326293075,
realworld_completed_24of28,realworld_completed,ia_infect_hyper,SASB,2196.0,0.7714025500910747,0.051001821493624776,7.680783242258652,6.0,0.4815802951825129,0.4736842105263158,694.624772313297,17.110200364298723,0.04371584699453552,0.039162112932604735,0.00045134355304092636,0.0,0.013205828779599272,0.034177601464754286,11.118852459016393,0.051001821493624776,,53.24389361169201
realworld_completed_24of28,realworld_completed,ia_radoslaw_email,M5,3250.0,0.34184615384615386,0.051076923076923075,11.448923076923077,10.0,0.7908730433829873,0.9166666666666666,799.579076923077,14.384307692307692,0.05076923076923077,0.04369230769230769,0.00030584983878396906,0.0,0.05076923076923077,0.006024315006350906,97.65784615384615,0.051076923076923075,0.008958442704988294,
realworld_completed_24of28,realworld_completed,ia_radoslaw_email,SASB,3250.0,0.7775384615384615,0.051076923076923075,11.448923076923077,8.0,0.5289739041622767,0.5,1300.1387692307692,23.27046153846154,0.041846153846153845,0.03538461538461538,0.00030584983878397036,0.0,0.012,0.025487486565330855,16.837230769230768,0.051076923076923075,,86.71710561814882
realworld_completed_24of28,realworld_completed,inf_euroroad,M5,1305.0,0.3348659003831418,0.7954022988505747,0.024521072796934867,0.0,0.018773946360153258,0.0,4.974712643678161,1.710344827586207,0.47509578544061304,0.39157088122605366,0.0007655460046685,0.0,0.05210727969348659,0.01469172847194695,437.35478927203064,0.7954022988505747,0.6516858836484071,
realworld_completed_24of28,realworld_completed,inf_euroroad,SASB,1305.0,0.32567049808429116,0.7954022988505747,0.024521072796934867,0.0,0.018416347381864623,0.0,5.00536398467433,1.7118773946360153,0.47662835249042146,0.39003831417624524,0.0007655460046684999,0.0,0.052873563218390804,0.014478804870904236,436.1371647509579,0.7954022988505747,,5454.532877872938
realworld_completed_24of28,realworld_completed,inf_power,M5,6594.0,0.31316348195329086,0.7491659084015772,0.09872611464968153,0.0,0.056503627636475685,0.0,7.5172884440400365,1.8858052775250227,0.47801031240521685,0.3184713375796178,0.0001516223251166911,0.0,0.025174400970579314,0.006022877179635307,2041.0846223839853,0.7491659084015772,0.602661250155492,
realworld_completed_24of28,realworld_completed,inf_power,SASB,6594.0,0.3275705186533212,0.7491659084015772,0.09872611464968153,0.0,0.05722169264025497,0.0,7.528510767364271,1.8882317258113437,0.47634212920837127,0.31968456172277826,0.00015162232511669113,0.0,0.024719441916894146,0.006133727679873998,2041.784501061571,0.7491659084015772,,29113.949495559955
realworld_completed_24of28,realworld_completed,inf_usair97,M5,2126.0,0.21919096895578552,0.15569143932267168,5.729539040451552,4.0,0.7162685303652029,1.0,361.5832549388523,7.8941674506114765,0.13922859830667922,0.1180620884289746,0.0004689501184417761,0.0,0.11335841956726246,0.004136879468079734,171.98918156161807,0.15569143932267168,0.04925961405071965,
realworld_completed_24of28,realworld_completed,inf_usair97,SASB,2126.0,0.6660395108184384,0.15569143932267168,5.729539040451552,2.0,0.4190824652440652,0.3712316968130922,727.2102539981186,14.353715898400752,0.1284101599247413,0.10253998118532455,0.0004689501184417807,0.0,0.021636876763875823,0.021673651126244038,59.865945437441205,0.15569143932267168,,432.7125050210197
realworld_completed_24of28,realworld_completed,rt_retweet,M5,117.0,0.39316239316239315,0.811965811965812,0.10256410256410256,0.0,0.029304029304029304,0.0,13.102564102564102,2.0854700854700856,0.5470085470085471,0.18803418803418803,0.008457977207977198,0.0,0.17094017094017094,0.049479166666666616,41.205128205128204,0.811965811965812,0.6141093371659995,
realworld_completed_24of28,realworld_completed,rt_retweet,SASB,117.0,0.39316239316239315,0.811965811965812,0.10256410256410256,0.0,0.029304029304029304,0.0,13.102564102564102,2.0854700854700856,0.5470085470085471,0.18803418803418803,0.008457977207977198,0.0,0.17094017094017094,0.049479166666666616,41.205128205128204,0.811965811965812,,188.6107312440646
realworld_completed_24of28,realworld_completed,rt_twitter_copen,M5,1029.0,0.37998056365403304,0.738581146744412,0.14480077745383868,0.0,0.038213196076905466,0.0,33.67930029154519,2.7453838678328473,0.5306122448979592,0.184645286686103,0.0009705402716746514,0.0,0.06705539358600583,0.014473709268887192,298.00097181729836,0.738581146744412,0.5009740633826208,
realworld_completed_24of28,realworld_completed,rt_twitter_copen,SASB,1029.0,0.40233236151603496,0.738581146744412,0.14480077745383868,0.0,0.03879503768587974,0.0,33.49271137026239,2.7337220602526724,0.5296404275996113,0.18172983479105928,0.0009705402716746517,0.0,0.062196307094266275,0.01560446780551901,297.6345966958212,0.738581146744412,,3372.3455874203237
realworld_completed_24of28,realworld_completed,soc_dolphins,M5,159.0,0.3333333333333333,0.3836477987421384,0.5974842767295597,0.0,0.32755066387141857,0.0,16.81132075471698,2.7232704402515724,0.31446540880503143,0.25157232704402516,0.006187867721647392,0.0,0.13836477987421383,0.04472140762463342,24.0125786163522,0.3836477987421384,0.2878365556637487,
realworld_completed_24of28,realworld_completed,soc_dolphins,SASB,159.0,0.25157232704402516,0.3836477987421384,0.5974842767295597,0.0,0.3428721174004193,0.0,15.88679245283019,2.5723270440251573,0.3270440251572327,0.2389937106918239,0.00618786772164739,0.0,0.1509433962264151,0.04099462365591396,25.42138364779874,0.3836477987421384,,92.98524647298403
realworld_completed_24of28,realworld_completed,soc_wiki_vote,M5,2914.0,0.43617021276595747,0.304735758407687,0.7271791352093342,0.0,0.17732896597008635,0.0,125.21070693205216,4.759437199725463,0.23026767330130404,0.18668496911461907,0.00034278488009863297,0.0,0.07515442690459849,0.004561073701403728,246.52059025394647,0.304735758407687,0.18014882102237648,
realworld_completed_24of28,realworld_completed,soc_wiki_vote,SASB,2914.0,0.6156485929993136,0.304735758407687,0.7271791352093342,0.0,0.15521399120661464,0.0,134.3098833218943,5.2220315717227175,0.21722717913520934,0.1664378860672615,0.0003427848800986345,0.0,0.030542210020590255,0.01122331618660023,191.2385037748799,0.304735758407687,,3095.893148703853
realworld_completed_24of28,realworld_completed,web_edu,M5,6474.0,0.3980537534754402,0.4680259499536608,1.5535990114303366,1.0,0.3735462240572535,0.5,113.74436206363917,3.839511893728761,0.30413963546493666,0.24992276799505714,0.00015441304848355487,0.0,0.02672227371022552,0.005778439744985747,975.5386160024714,0.4680259499536608,0.39239440084531685,
realworld_completed_24of28,realworld_completed,web_edu,SASB,6474.0,0.4406858202038925,0.4680259499536608,1.5535990114303366,1.0,0.3600755722954139,0.4444444444444444,118.03877046648131,4.004942848316342,0.3030583873957368,0.24915044794562866,0.00015441304848355512,0.0,0.025023169601482854,0.006170802937546517,954.5460302749459,0.4680259499536608,,3051.3582871948547
realworld_completed_24of28,realworld_completed,web_polblogs,M5,2280.0,0.37543859649122807,0.28157894736842104,1.317543859649123,0.0,0.2877339686362534,0.0,146.625,4.60219298245614,0.2355263157894737,0.175,0.00043791438159940645,0.0,0.08859649122807017,0.004942795990329934,204.03728070175438,0.28157894736842104,0.12370183165835415,
realworld_completed_24of28,realworld_completed,web_polblogs,SASB,2280.0,0.618859649122807,0.28157894736842104,1.317543859649123,0.0,0.2098933650200254,0.0,180.50394736842105,5.983771929824561,0.21666666666666667,0.156140350877193,0.00043791438159940965,0.0,0.03289473684210526,0.013312597200622054,138.86271929824562,0.28157894736842104,,1692.430531237636
synthetic45,synthetic45,synthetic_test_000,M5,388.0,0.47164948453608246,0.35309278350515466,0.07474226804123711,0.0,0.0406173294059892,0.0,16.77577319587629,3.0850515463917527,0.22164948453608246,0.22164948453608246,0.002558643358733001,0.0,0.09020618556701031,0.028364389233954415,36.84278350515464,0.35309278350515466,0.29589130195246505,
synthetic45,synthetic45,synthetic_test_000,SASB,388.0,0.538659793814433,0.35309278350515466,0.07474226804123711,0.0,0.04714653902798232,0.0,17.13144329896907,3.1391752577319587,0.22422680412371135,0.22164948453608246,0.0025586433587330027,0.0,0.06958762886597938,0.03676865271068168,32.21649484536083,0.35309278350515466,,283.48691008522337
synthetic45,synthetic45,synthetic_test_001,M5,1010.0,0.4099009900990099,0.19900990099009902,1.204950495049505,1.0,0.4373758447273299,0.3333333333333333,37.04455445544554,4.623762376237623,0.17524752475247524,0.1504950495049505,0.0009851975296539539,0.0,0.028712871287128714,0.03431205189484461,56.11980198019802,0.19900990099009902,0.19230224010845548,
synthetic45,synthetic45,synthetic_test_001,SASB,1010.0,0.44554455445544555,0.19900990099009902,1.204950495049505,1.0,0.43963460631777457,0.3333333333333333,37.314851485148516,4.665346534653465,0.17425742574257425,0.1485148514851485,0.000985197529653954,0.0,0.0297029702970297,0.03316831683168313,56.2049504950495,0.19900990099009902,,424.9256066630358
synthetic45,synthetic45,synthetic_test_002,M5,208.0,0.47596153846153844,0.40384615384615385,0.09134615384615384,0.0,0.05894001831501831,0.0,13.639423076923077,2.7596153846153846,0.2692307692307692,0.24519230769230768,0.004751131221719453,0.0,0.10576923076923077,0.044919786096256645,24.634615384615383,0.40384615384615385,0.3586066571004368,
synthetic45,synthetic45,synthetic_test_002,SASB,208.0,0.46153846153846156,0.40384615384615385,0.09134615384615384,0.0,0.043475274725274723,0.0,13.557692307692308,2.75,0.2644230769230769,0.2548076923076923,0.004751131221719453,0.0,0.09615384615384616,0.04941176470588231,22.447115384615383,0.40384615384615385,,158.57066984853822
synthetic45,synthetic45,synthetic_test_003,M5,1123.0,0.5173642030276047,0.18967052537845058,0.21104185218165628,0.0,0.08542248292916146,0.0,46.06322350845949,4.7898486197684775,0.13624220837043632,0.13446126447016918,0.000886310866254438,0.0,0.0792520035618878,0.011183450593300382,60.292074799643814,0.18967052537845058,0.13212143307523647,
synthetic45,synthetic45,synthetic_test_003,SASB,1123.0,0.6945681211041852,0.18967052537845058,0.21104185218165628,0.0,0.09033875000037064,0.0,49.639358860195905,5.2520035618878005,0.13624220837043632,0.11487088156723063,0.0008863108662544399,0.0,0.029385574354407838,0.030161427357688973,32.699910952804984,0.18967052537845058,,332.42307149673155
