dataset_group,method,removed_ratio,gcc_ratio
realworld_completed,SASB,0.17,0.44586252853931213
realworld_completed,SASB,0.18,0.4321101183856962
realworld_completed,SASB,0.19,0.40577984374961096
realworld_completed,SASB,0.2,0.3894287978267615
realworld_completed,SASB,0.21,0.38669897489966504
realworld_completed,SASB,0.22,0.37234407854482204
realworld_completed,SASB,0.23,0.34814060557674525
realworld_completed,SASB,0.24,0.3463952986231187
realworld_completed,SASB,0.25,0.33345178075871756
realworld_completed,SASB,0.26,0.31238494913277925
realworld_completed,SASB,0.27,0.3081223834825938
realworld_completed,SASB,0.28,0.29469729869406625
realworld_completed,SASB,0.29,0.28130142999609203
realworld_completed,SASB,0.3,0.2782904553153629
realworld_completed,SASB,0.31,0.24876246177762482
realworld_completed,SASB,0.32,0.24388027595197964
realworld_completed,SASB,0.33,0.2390591018137812
realworld_completed,SASB,0.34,0.23162133285969483
realworld_completed,SASB,0.35000000000000003,0.22478840589308038
realworld_completed,SASB,0.36,0.21353169431447633
realworld_completed,SASB,0.37,0.20642396961926404
realworld_completed,SASB,0.38,0.1969589732476555
realworld_completed,SASB,0.39,0.19475742637808643
realworld_completed,SASB,0.4,0.1916830472060231
realworld_completed,SASB,0.41000000000000003,0.1886697893854027
realworld_completed,SASB,0.42,0.1841675039075157
realworld_completed,SASB,0.43,0.17789055736043097
realworld_completed,SASB,0.44,0.17030760624707134
realworld_completed,SASB,0.45,0.16874609972235866
realworld_completed,SASB,0.46,0.16600987099255565
realworld_completed,SASB,0.47000000000000003,0.153286480219181
realworld_completed,SASB,0.48,0.148737090922462
realworld_completed,SASB,0.49,0.14480977355772534
realworld_completed,SASB,0.5,0.14044706781216526
realworld_completed,SASB,0.51,0.13768922461581756
realworld_completed,SASB,0.52,0.13317224048464563
realworld_completed,SASB,0.53,0.1305906921069726
realworld_completed,SASB,0.54,0.12818701008720645
realworld_completed,SASB,0.55,0.11312205017988389
realworld_completed,SASB,0.56,0.11042418247408349
realworld_completed,SASB,0.5700000000000001,0.10834358870352656
realworld_completed,SASB,0.58,0.10590135606887378
realworld_completed,SASB,0.59,0.10340122377684573
realworld_completed,SASB,0.6,0.09299866910484267
realworld_completed,SASB,0.61,0.08841161050400198
realworld_completed,SASB,0.62,0.0862439920518097
realworld_completed,SASB,0.63,0.08332612473504607
realworld_completed,SASB,0.64,0.08199087272864465
realworld_completed,SASB,0.65,0.08028380489810322
realworld_completed,SASB,0.66,0.07915689234301049
realworld_completed,SASB,0.67,0.07784868619067924
realworld_completed,SASB,0.68,0.07700513596063997
realworld_completed,SASB,0.6900000000000001,0.06888134111407326
realworld_completed,SASB,0.7000000000000001,0.06714123003944712
realworld_completed,SASB,0.71,0.06434585634959926
realworld_completed,SASB,0.72,0.0632325909805492
realworld_completed,SASB,0.73,0.06142645006285328
realworld_completed,SASB,0.74,0.0592537769390595
realworld_completed,SASB,0.75,0.05358981948446576
realworld_completed,SASB,0.76,0.05244811071724123
realworld_completed,SASB,0.77,0.04964822466789766
