auc,dataset_group,final_gcc_ratio,graph_id,graph_name,graph_type,method,normalized_auc,observed_remove_ratio,remove_ratio_gcc_le_0.1,remove_ratio_gcc_le_0.2,remove_ratio_gcc_le_0.5,removed_nodes,runtime_seconds,status
0.08799565321209107,realworld_completed,0.0,bio_celegans,bio-celegans,biological,dynamic-closeness,0.08799565321209107,1.0,0.11479028697571746,0.09492273730684328,0.08830022075055187,453,8.134287599999992,finished
0.09377512682192303,realworld_completed,0.0,bio_celegans,bio-celegans,biological,dynamic-degree,0.09377512682192303,1.0,0.13024282560706402,0.11699779249448125,0.09492273730684328,453,0.6840096999999901,finished
0.09583156684161027,realworld_completed,0.0,bio_celegans,bio-celegans,biological,dynamic-k-core,0.09583156684161027,1.0,0.13024282560706402,0.11920529801324505,0.09933774834437084,453,0.7804541000000427,finished
0.07756726069519368,realworld_completed,0.0,bio_celegans,bio-celegans,biological,M5,0.07756726069519368,1.0,0.10596026490066224,0.09271523178807947,0.0772626931567329,453,16.911249899999973,finished
0.3854679862968973,realworld_completed,0.0,bio_celegans,bio-celegans,biological,random,0.3854679862968973,1.0,0.6291390728476821,0.5761589403973509,0.38852097130242813,453,2.0642047000000048,finished
0.07967243152103468,realworld_completed,0.0,bio_celegans,bio-celegans,biological,SASB,0.07967243152103468,1.0,0.10596026490066224,0.09271523178807947,0.08167770419426049,453,4.439991899999995,finished
0.21530115974560415,realworld_completed,0.0,bio_celegansneural,bio-celegansneural,biological,dynamic-closeness,0.21530115974560415,1.0,0.404040404040404,0.3232323232323233,0.15824915824915825,297,5.25337380000002,finished
0.2834574703261572,realworld_completed,0.0,bio_celegansneural,bio-celegansneural,biological,dynamic-degree,0.2834574703261572,1.0,0.43097643097643096,0.4074074074074074,0.3468013468013468,297,0.6963297000000352,finished
0.2844210908183973,realworld_completed,0.0,bio_celegansneural,bio-celegansneural,biological,dynamic-k-core,0.2844210908183973,1.0,0.4276094276094276,0.4107744107744108,0.3501683501683502,297,0.8895394000000465,finished
0.2087938872450657,realworld_completed,0.0,bio_celegansneural,bio-celegansneural,biological,M5,0.2087938872450657,1.0,0.3804713804713805,0.32996632996633,0.17845117845117844,297,16.363403600000026,finished
0.4708646509993312,realworld_completed,0.0,bio_celegansneural,bio-celegansneural,biological,random,0.4708646509993312,1.0,0.8148148148148148,0.7474747474747475,0.4814814814814815,297,1.621627500000045,finished
0.2053928737430421,realworld_completed,0.0,bio_celegansneural,bio-celegansneural,biological,SASB,0.2053928737430421,1.0,0.39057239057239057,0.3164983164983165,0.1447811447811448,297,6.132002800000008,finished
0.08798590705086033,realworld_completed,0.0,bio_celegans_dir,bio-celegans-dir,biological,dynamic-closeness,0.08798590705086033,1.0,0.11479028697571746,0.09492273730684328,0.08830022075055187,453,7.837373099999978,finished
0.09885774990375666,realworld_completed,0.0,bio_celegans_dir,bio-celegans-dir,biological,dynamic-degree,0.09885774990375666,1.0,0.13245033112582782,0.12582781456953646,0.10816777041942603,453,0.6929564999999798,finished
0.10059743968344467,realworld_completed,0.0,bio_celegans_dir,bio-celegans-dir,biological,dynamic-k-core,0.10059743968344467,1.0,0.1390728476821192,0.1280353200883002,0.10816777041942603,453,0.7834523999999874,finished
0.0775672606951937,realworld_completed,0.0,bio_celegans_dir,bio-celegans-dir,biological,M5,0.0775672606951937,1.0,0.10596026490066224,0.09271523178807947,0.0772626931567329,453,16.6506435,finished
0.4444566271459829,realworld_completed,0.0,bio_celegans_dir,bio-celegans-dir,biological,random,0.4444566271459829,1.0,0.7880794701986755,0.7041942604856513,0.4613686534216336,453,2.3755759000000007,finished
0.07967243152103466,realworld_completed,0.0,bio_celegans_dir,bio-celegans-dir,biological,SASB,0.07967243152103466,1.0,0.10596026490066224,0.09271523178807947,0.08167770419426049,453,4.398136600000044,finished
0.0240520401418184,realworld_completed,0.0,bio_diseasome,bio-diseasome,biological,dynamic-closeness,0.0240520401418184,1.0,0.040697674418604654,0.031007751937984492,0.007751937984496123,516,2.5400788000000034,finished
0.03138333032870621,realworld_completed,0.0,bio_diseasome,bio-diseasome,biological,dynamic-degree,0.03138333032870621,1.0,0.04651162790697674,0.036821705426356585,0.027131782945736437,516,0.6199127000000146,finished
0.04187323478156362,realworld_completed,0.0,bio_diseasome,bio-diseasome,biological,dynamic-k-core,0.04187323478156362,1.0,0.060077519379844964,0.050387596899224806,0.044573643410852716,516,0.73775550000002,finished
0.020040862928910518,realworld_completed,0.0,bio_diseasome,bio-diseasome,biological,M5,0.020040862928910518,1.0,0.03875968992248062,0.025193798449612403,0.007751937984496123,516,4.360898499999991,finished
0.24733339342587585,realworld_completed,0.0,bio_diseasome,bio-diseasome,biological,random,0.24733339342587585,1.0,0.4031007751937984,0.3546511627906977,0.2693798449612403,516,1.457048200000003,finished
0.01977044648759089,realworld_completed,0.0,bio_diseasome,bio-diseasome,biological,SASB,0.01977044648759089,1.0,0.034883720930232565,0.025193798449612403,0.007751937984496123,516,1.7123269999999875,finished
0.01905523741331445,realworld_completed,0.0,bio_grid_mouse,bio-grid-mouse,biological,dynamic-closeness,0.01905523741331445,1.0,0.025284450063211124,0.020227560050568902,0.013906447534766121,791,8.763244100000009,finished
