auc,dataset_group,final_gcc_ratio,graph_id,graph_name,graph_type,method,normalized_auc,observed_remove_ratio,remove_ratio_gcc_le_0.1,remove_ratio_gcc_le_0.2,remove_ratio_gcc_le_0.5,removed_nodes,runtime_seconds,status
0.2053928737430421,realworld_completed,0.0,bio_celegansneural,bio-celegansneural,biological,SASB,0.2053928737430421,1.0,0.39057239057239057,0.3164983164983165,0.1447811447811448,297,6.132002800000008,finished
0.019770446487590892,realworld_completed,0.0,bio_diseasome,bio-diseasome,biological,SASB,0.019770446487590892,1.0,0.034883720930232565,0.025193798449612403,0.007751937984496123,516,1.7123269999999875,finished
0.011795947136000616,realworld_completed,0.0,bio_grid_mouse,bio-grid-mouse,biological,SASB,0.011795947136000616,1.0,0.017699115044247787,0.011378002528445006,0.008849557522123894,791,3.2351424000000013,finished
0.5,realworld_completed,0.0,bio_sc_ts,bio-SC-TS,biological,SASB,0.5,1.0,0.9104477611940298,0.8059701492537313,0.5074626865671642,67,1.1531564000000003,finished
0.006811659726353363,realworld_completed,0.0,ca_csphd,ca-CSphd,collaboration,SASB,0.006811659726353363,1.0,0.010731707317073172,0.0068292682926829286,0.003902439024390244,1025,4.318389499999995,finished
0.02596780292892159,realworld_completed,0.0,rt_twitter_copen,rt-twitter-copen,social,SASB,0.02596780292892159,1.0,0.039421813403416564,0.03416557161629435,0.022339027595269383,761,4.6923499,finished
0.1693548387096775,realworld_completed,0.0,soc_dolphins,soc-dolphins,social,SASB,0.1693548387096775,1.0,0.3387096774193548,0.27419354838709675,0.12903225806451613,62,0.13010049999999973,finished
0.09166844864301976,realworld_completed,0.0,soc_wiki_vote,soc-wiki-Vote,social,SASB,0.09166844864301976,1.0,0.17885264341957255,0.1484814398200225,0.08886389201349831,889,19.957013099999926,finished
0.0724357780524321,realworld_completed,0.0,web_polblogs,web-polblogs,web,SASB,0.0724357780524321,1.0,0.15241057542768274,0.13530326594090206,0.04354587869362364,643,9.6423178,finished
0.102369576446281,synthetic45,0.0,synthetic_test_009,synthetic_test_009,ba,SASB,0.102369576446281,1.0,0.14204545454545456,0.11931818181818182,0.10227272727272728,176,0.7202009000000089,finished
0.23812994585589345,synthetic45,0.0,synthetic_test_010,synthetic_test_010,sbm,SASB,0.23812994585589345,1.0,0.32653061224489793,0.30612244897959184,0.22448979591836726,98,0.5487285000000099,finished
0.12182423990004165,synthetic45,0.0,synthetic_test_013,synthetic_test_013,ws,SASB,0.12182423990004165,1.0,0.22448979591836726,0.17687074829931973,0.08163265306122447,147,0.7096835999999911,finished
0.19562130177514792,synthetic45,0.0,synthetic_test_025,synthetic_test_025,sbm,SASB,0.19562130177514792,1.0,0.2923076923076923,0.2307692307692308,0.18461538461538465,65,0.16267059999998426,finished
0.2395082371645514,synthetic45,0.0,synthetic_test_029,synthetic_test_029,ba,SASB,0.2395082371645514,1.0,0.3036649214659686,0.2879581151832461,0.25654450261780104,191,2.3653833999999847,finished
0.32763039856465465,synthetic45,0.0,synthetic_test_030,synthetic_test_030,sbm,SASB,0.32763039856465465,1.0,0.4379084967320261,0.4052287581699345,0.38562091503267976,153,2.144169599999998,finished
0.2476643990929705,synthetic45,0.0,synthetic_test_034,synthetic_test_034,ba,SASB,0.2476643990929705,1.0,0.3523809523809524,0.3047619047619048,0.2761904761904762,105,0.7025772999999731,finished
0.2866575733151467,synthetic45,0.0,synthetic_test_035,synthetic_test_035,ba,SASB,0.2866575733151467,1.0,0.3937007874015748,0.3779527559055118,0.3307086614173229,127,1.2859581999999818,finished
0.2453032104637337,synthetic45,0.0,synthetic_test_043,synthetic_test_043,sbm,SASB,0.2453032104637337,1.0,0.3517241379310345,0.3103448275862069,0.2413793103448276,145,1.3379461000000106,finished
