dataset,graph_id,graph_name,graph_type,community_strength,method,candidate_policy,source_policy,seed,status,auc,normalized_auc,observed_remove_ratio,removed_edges,final_gcc_ratio,runtime_seconds,true_source_traversal_count,louvain_recomputes,max_steps,gcc_at_5pct,gcc_at_10pct,gcc_at_20pct,gcc_at_40pct,first_positive_drop_step,positive_delta_gcc_rate,conditional_mean_delta_gcc,inter_community_ratio,mean_edge_embeddedness,mean_common_neighbors,source_count_min,source_count_max,source_count_mean,source_count_median,candidate_count_mean,candidate_fraction_mean,candidate_match_difference_mean,strict_match_count_total,degree_only_match_count_total,community_only_match_count_total,fallback_count_total,p2_degree_product_fallback_count,initial_source_nodes,initial_source_node_hash,initial_candidate_count,initial_candidate_hash,candidate_generation_seconds,sampled_path_scoring_seconds,model_scoring_seconds,total_selection_seconds
synthetic45,synthetic_test_041,synthetic_test_041,sbm,medium,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,finished,0.7632720303937061,0.7632720303937061,1.0,607,0.006802721088435374,13.748248699994292,17413,125,607,0.9931972789115646,0.9931972789115646,0.9659863945578231,0.9455782312925171,25,0.14497528830313014,0.011286332714904144,0.3113673805601318,0.07228232594789431,0.2487644151565074,2.0,32.0,28.686985172981878,32.0,79.10214168039539,0.41750258416083597,0.44644512486456867,0,0,0,0,0,"[""139"", ""56"", ""120"", ""134"", ""17"", ""95"", ""110"", ""76"", ""124"", ""114"", ""117"", ""12"", ""72"", ""75"", ""100"", ""104"", ""50"", ""68"", ""48"", ""6"", ""77"", ""89"", ""71"", ""41"", ""5"", ""107"", ""29"", ""28"", ""103"", ""135"", ""121"", ""132""]",0306e4cb9f9965fdc2c04e7269682eeb28f635e00268c0cc07063f000e050df5,123,26d0561c5294a043841985b34a1e7603523e896aa5229480c6dcf9f59423386a,1.6661896998703014,2.8820987002691254,0.09666599970660172,8.158661299472442
synthetic45,synthetic_test_041,synthetic_test_041,sbm,medium,Structure-matched-candidate,structure_matched,SASB-structured,20260513,finished,0.7819767116072129,0.7819767116072129,1.0,607,0.006802721088435374,21.536567899980582,16896,142,607,1.0,1.0,1.0,1.0,395,0.11696869851729819,0.013988694069176966,0.3756177924217463,0.08110731936926334,0.2487644151565074,2.0,32.0,27.83525535420099,32.0,78.15980230642504,0.4394172659156472,0.0,47443,0,0,0,0,"[""139"", ""56"", ""120"", ""134"", ""17"", ""95"", ""110"", ""76"", ""124"", ""114"", ""117"", ""12"", ""72"", ""75"", ""100"", ""104"", ""50"", ""68"", ""48"", ""6"", ""77"", ""89"", ""71"", ""41"", ""5"", ""107"", ""29"", ""28"", ""103"", ""135"", ""121"", ""132""]",0306e4cb9f9965fdc2c04e7269682eeb28f635e00268c0cc07063f000e050df5,123,98fb9bbaa71cb0a15fb7c55fe46d3189d6e8c47a76c96da9d77747af25b837ab,9.739422399754403,2.8945731998828705,0.09640349983237684,16.21991309974692
synthetic45,synthetic_test_042,synthetic_test_042,ws,none,SASB-candidate,sasb,SASB-structured,20260513,finished,0.6621882086167801,0.6621882086167801,1.0,630,0.007936507936507936,10.4058468999865,15488,148,630,1.0,1.0,1.0,1.0,328,0.05873015873015873,0.026812526812526806,0.2841269841269841,0.3395043404567214,1.3746031746031746,2.0,32.0,24.584126984126986,32.0,69.45873015873016,0.5096759455114505,0.0,0,0,0,0,0,"[""102"", ""20"", ""50"", ""31"", ""47"", ""23"", ""69"", ""18"", ""70"", ""101"", ""21"", ""71"", ""120"", ""106"", ""41"", ""55"", ""67"", ""7"", ""81"", ""109"", ""113"", ""118"", ""94"", ""98"", ""100"", ""123"", ""92"", ""105"", ""16"", ""10"", ""89"", ""76""]",a8aa786b2a28ce89ea9e3a12782e40305c4b81c4be626dbfd6b26cb55c1b3ece,122,c10948d4dd0bacd0942e80d289abd331b683a30bbfa319873d0f1e18901d62dd,1.2851146999455523,2.4187399999063928,0.09024090020102449,6.941493999649538
synthetic45,synthetic_test_042,synthetic_test_042,ws,none,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,finished,0.5547808012093726,0.5547808012093726,1.0,630,0.007936507936507936,9.324240799993277,14951,155,630,1.0,1.0,1.0,1.0,253,0.050793650793650794,0.031001984126984128,0.2714285714285714,0.3448577040243707,1.3746031746031746,2.0,32.0,23.73174603174603,32.0,64.43015873015872,0.5618247058228277,0.31749640072603275,0,0,0,0,0,"[""102"", ""20"", ""50"", ""31"", ""47"", ""23"", ""69"", ""18"", ""70"", ""101"", ""21"", ""71"", ""120"", ""106"", ""41"", ""55"", ""67"", ""7"", ""81"", ""109"", ""113"", ""118"", ""94"", ""98"", ""100"", ""123"", ""92"", ""105"", ""16"", ""10"", ""89"", ""76""]",a8aa786b2a28ce89ea9e3a12782e40305c4b81c4be626dbfd6b26cb55c1b3ece,122,6d3a0d4c13ce87a64bd6058a8dd3ec32b33849fdd494df529bb9808a3006c09d,1.2809527996578254,2.041400699847145,0.08049710004706867,6.21686299983412
synthetic45,synthetic_test_042,synthetic_test_042,ws,none,Structure-matched-candidate,structure_matched,SASB-structured,20260513,finished,0.5921453766691862,0.5921453766691862,1.0,630,0.007936507936507936,17.861911100015277,15192,149,630,1.0,1.0,1.0,1.0,270,0.06031746031746032,0.02610693400167084,0.28888888888888886,0.34114329233376856,1.3746031746031746,2.0,32.0,24.114285714285714,32.0,66.59206349206349,0.5452393759648811,0.0,41953,0,0,0,0,"[""102"", ""20"", ""50"", ""31"", ""47"", ""23"", ""69"", ""18"", ""70"", ""101"", ""21"", ""71"", ""120"", ""106"", ""41"", ""55"", ""67"", ""7"", ""81"", ""109"", ""113"", ""118"", ""94"", ""98"", ""100"", ""123"", ""92"", ""105"", ""16"", ""10"", ""89"", ""76""]",a8aa786b2a28ce89ea9e3a12782e40305c4b81c4be626dbfd6b26cb55c1b3ece,122,0b0ff0c3565762a748c02fd9cbb6084c7b5163d274aaf98f1735dbd6fc5d934f,9.437713200662984,2.1968403000500984,0.08679870009655133,14.591423499805387
synthetic45,synthetic_test_043,synthetic_test_043,sbm,mixed,SASB-candidate,sasb,SASB-structured,20260513,finished,0.6529732582688248,0.6529732582688248,1.0,392,0.006896551724137931,6.249071600002935,9632,121,392,1.0,1.0,1.0,1.0,188,0.17091836734693877,0.014822439526505405,0.3596938775510204,0.053109815354713305,0.11989795918367346,2.0,32.0,24.571428571428573,32.0,57.35459183673469,0.5689311741589638,0.0,0,0,0,0,0,"[""125"", ""80"", ""56"", ""12"", ""38"", ""139"", ""16"", ""104"", ""106"", ""131"", ""2"", ""29"", ""120"", ""6"", ""81"", ""96"", ""110"", ""116"", ""135"", ""20"", ""49"", ""64"", ""51"", ""35"", ""52"", ""127"", ""17"", ""82"", ""11"", ""19"", ""45"", ""143""]",1f98455bcdbb870a42cf796bc0fe4e03334856b33890c834c76d31746c68f81c,99,91d6ef5495b39c64924f84fb21dc687cef4a310cb41e0b216d2e3d47b7bd592f,0.5586953003075905,1.3648020000837278,0.046336800121935084,3.652905900060432
synthetic45,synthetic_test_043,synthetic_test_043,sbm,mixed,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,finished,0.6381597466572837,0.6381597466572837,1.0,392,0.006896551724137931,6.27563519999967,10092,109,392,0.993103448275862,0.993103448275862,0.9655172413793104,0.9103448275862069,18,0.1989795918367347,0.01273209549071618,0.27040816326530615,0.04309402332361516,0.11989795918367346,2.0,32.0,25.744897959183675,32.0,59.2780612244898,0.5531665059815406,0.30722566435956966,0,0,0,0,0,"[""125"", ""80"", ""56"", ""12"", ""38"", ""139"", ""16"", ""104"", ""106"", ""131"", ""2"", ""29"", ""120"", ""6"", ""81"", ""96"", ""110"", ""116"", ""135"", ""20"", ""49"", ""64"", ""51"", ""35"", ""52"", ""127"", ""17"", ""82"", ""11"", ""19"", ""45"", ""143""]",1f98455bcdbb870a42cf796bc0fe4e03334856b33890c834c76d31746c68f81c,99,59e1e95685f6a24725135054c523af05d10065844011cc4d827e02120e08b72c,0.6415706004481763,1.3484776997065637,0.046384300163481385,3.620720699778758
synthetic45,synthetic_test_043,synthetic_test_043,sbm,mixed,Structure-matched-candidate,structure_matched,SASB-structured,20260513,finished,0.6610309641097818,0.6610309641097818,1.0,392,0.006896551724137931,8.933028500003275,9852,115,392,1.0,1.0,1.0,1.0,184,0.1836734693877551,0.013793103448275862,0.32142857142857145,0.05198007774538386,0.11989795918367346,2.0,32.0,25.132653061224488,32.0,58.62755102040816,0.5625350631322332,0.0,22982,0,0,0,0,"[""125"", ""80"", ""56"", ""12"", ""38"", ""139"", ""16"", ""104"", ""106"", ""131"", ""2"", ""29"", ""120"", ""6"", ""81"", ""96"", ""110"", ""116"", ""135"", ""20"", ""49"", ""64"", ""51"", ""35"", ""52"", ""127"", ""17"", ""82"", ""11"", ""19"", ""45"", ""143""]",1f98455bcdbb870a42cf796bc0fe4e03334856b33890c834c76d31746c68f81c,99,4d8ee8f179031ea6f2928f9586d91bf61da6fa47423aaa039afa0f81537e1988,3.2507712004880887,1.3660282001364976,0.04718080008751713,6.338580700015882
synthetic45,synthetic_test_044,synthetic_test_044,sbm,weak,SASB-candidate,sasb,SASB-structured,20260513,finished,0.7173499864241109,0.7173499864241109,1.0,377,0.007874015748031496,5.842573300004005,9823,109,377,1.0,1.0,1.0,1.0,209,0.16180371352785147,0.016264360397573254,0.35278514588859416,0.039566755083996465,0.07692307692307693,2.0,32.0,26.05570291777188,32.0,59.15384615384615,0.5420871796194205,0.0,0,0,0,0,0,"[""8"", ""119"", ""60"", ""91"", ""69"", ""34"", ""57"", ""29"", ""54"", ""62"", ""68"", ""39"", ""53"", ""17"", ""105"", ""11"", ""110"", ""114"", ""31"", ""44"", ""58"", ""65"", ""16"", ""2"", ""118"", ""43"", ""25"", ""112"", ""83"", ""37"", ""76"", ""63""]",9ae7f78b6ff6b8f17a32bdce1a6ecf20510cb12bd030b4e35635ac075fc5f41f,95,9d71d80e16821cb9f00eedcb27e3686e7fd56e9fda2a592578662d91d05db491,0.5737355999881402,1.2756973000068683,0.0441714002226945,3.4015058999939356
synthetic45,synthetic_test_044,synthetic_test_044,sbm,weak,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,finished,0.7358131957643226,0.7358131957643226,1.0,377,0.007874015748031496,6.2336977000231855,10525,87,377,1.0,0.984251968503937,0.968503937007874,0.952755905511811,23,0.22281167108753316,0.011811023622047242,0.27320954907161804,0.028760894278135656,0.07692307692307693,2.0,32.0,27.917771883289124,32.0,62.84084880636605,0.510440999763917,0.31806216277969696,0,0,0,0,0,"[""8"", ""119"", ""60"", ""91"", ""69"", ""34"", ""57"", ""29"", ""54"", ""62"", ""68"", ""39"", ""53"", ""17"", ""105"", ""11"", ""110"", ""114"", ""31"", ""44"", ""58"", ""65"", ""16"", ""2"", ""118"", ""43"", ""25"", ""112"", ""83"", ""37"", ""76"", ""63""]",9ae7f78b6ff6b8f17a32bdce1a6ecf20510cb12bd030b4e35635ac075fc5f41f,95,06e9269a85878e2c8cc0409b22141a95a9b7b077d9e01299e86b851658ee51a5,0.6795007000910118,1.3275456005067099,0.046866199758369476,3.6850073001987766
