dataset,graph_id,method,candidate_policy,seed,removed_edges,source_count_min,source_count_max,source_count_mean,source_count_median,true_source_traversal_count
synthetic45,synthetic_test_026,SASB-candidate,sasb,20260513,599,2.0,32.0,27.27212020033389,32.0,16336
synthetic45,synthetic_test_026,Structure-matched-candidate,structure_matched,20260513,599,2.0,32.0,27.74457429048414,32.0,16619
synthetic45,synthetic_test_027,Random-size-matched-candidate,random_size_matched,20260513,819,2.0,32.0,27.1013431013431,32.0,22196
synthetic45,synthetic_test_027,SASB-candidate,sasb,20260513,819,2.0,32.0,26.128205128205128,32.0,21399
synthetic45,synthetic_test_027,Structure-matched-candidate,structure_matched,20260513,819,2.0,32.0,26.614163614163616,32.0,21797
synthetic45,synthetic_test_028,Random-size-matched-candidate,random_size_matched,20260513,711,2.0,32.0,29.0042194092827,32.0,20622
synthetic45,synthetic_test_028,SASB-candidate,sasb,20260513,711,2.0,32.0,25.51195499296765,32.0,18139
synthetic45,synthetic_test_028,Structure-matched-candidate,structure_matched,20260513,711,2.0,32.0,26.887482419127988,32.0,19117
synthetic45,synthetic_test_029,Random-size-matched-candidate,random_size_matched,20260513,748,2.0,32.0,29.88235294117647,32.0,22352
synthetic45,synthetic_test_029,SASB-candidate,sasb,20260513,748,2.0,32.0,27.606951871657756,32.0,20650
synthetic45,synthetic_test_029,Structure-matched-candidate,structure_matched,20260513,748,2.0,32.0,28.012032085561497,32.0,20953
synthetic45,synthetic_test_030,Random-size-matched-candidate,random_size_matched,20260513,553,2.0,32.0,29.213381555153703,32.0,16155
synthetic45,synthetic_test_030,SASB-candidate,sasb,20260513,553,2.0,32.0,27.244122965641957,32.0,15066
synthetic45,synthetic_test_030,Structure-matched-candidate,structure_matched,20260513,553,2.0,32.0,27.790235081374323,32.0,15368
synthetic45,synthetic_test_031,Random-size-matched-candidate,random_size_matched,20260513,552,2.0,32.0,16.505434782608695,11.0,9111
synthetic45,synthetic_test_031,SASB-candidate,sasb,20260513,552,2.0,32.0,16.43659420289855,10.0,9073
synthetic45,synthetic_test_031,Structure-matched-candidate,structure_matched,20260513,552,2.0,32.0,15.547101449275363,10.0,8582
synthetic45,synthetic_test_032,Random-size-matched-candidate,random_size_matched,20260513,348,2.0,32.0,28.316091954022987,32.0,9854
synthetic45,synthetic_test_032,SASB-candidate,sasb,20260513,348,2.0,32.0,26.78735632183908,32.0,9322
synthetic45,synthetic_test_032,Structure-matched-candidate,structure_matched,20260513,348,2.0,32.0,27.38793103448276,32.0,9531
synthetic45,synthetic_test_033,Random-size-matched-candidate,random_size_matched,20260513,549,2.0,32.0,17.391621129326047,14.0,9548
synthetic45,synthetic_test_033,SASB-candidate,sasb,20260513,549,2.0,32.0,18.010928961748633,17.0,9888
synthetic45,synthetic_test_033,Structure-matched-candidate,structure_matched,20260513,549,2.0,32.0,17.633879781420767,14.0,9681
synthetic45,synthetic_test_034,Random-size-matched-candidate,random_size_matched,20260513,404,2.0,32.0,28.378712871287128,32.0,11465
synthetic45,synthetic_test_034,SASB-candidate,sasb,20260513,404,2.0,32.0,27.60148514851485,32.0,11151
synthetic45,synthetic_test_034,Structure-matched-candidate,structure_matched,20260513,404,2.0,32.0,28.222772277227723,32.0,11402
synthetic45,synthetic_test_035,Random-size-matched-candidate,random_size_matched,20260513,610,2.0,32.0,30.31967213114754,32.0,18495
synthetic45,synthetic_test_035,SASB-candidate,sasb,20260513,610,2.0,32.0,28.727868852459014,32.0,17524
synthetic45,synthetic_test_035,Structure-matched-candidate,structure_matched,20260513,610,2.0,32.0,29.40327868852459,32.0,17936
synthetic45,synthetic_test_036,Random-size-matched-candidate,random_size_matched,20260513,914,2.0,32.0,25.77680525164114,32.0,23560
synthetic45,synthetic_test_036,SASB-candidate,sasb,20260513,914,2.0,32.0,25.53938730853392,32.0,23343
synthetic45,synthetic_test_036,Structure-matched-candidate,structure_matched,20260513,914,2.0,32.0,26.48249452954048,32.0,24205
synthetic45,synthetic_test_037,Random-size-matched-candidate,random_size_matched,20260513,329,2.0,32.0,24.048632218844983,32.0,7912
synthetic45,synthetic_test_037,SASB-candidate,sasb,20260513,329,2.0,32.0,25.279635258358663,32.0,8317
synthetic45,synthetic_test_037,Structure-matched-candidate,structure_matched,20260513,329,2.0,32.0,25.379939209726444,32.0,8350
synthetic45,synthetic_test_038,Random-size-matched-candidate,random_size_matched,20260513,633,2.0,32.0,29.94470774091627,32.0,18955
synthetic45,synthetic_test_038,SASB-candidate,sasb,20260513,633,2.0,32.0,27.5086887835703,32.0,17413
synthetic45,synthetic_test_038,Structure-matched-candidate,structure_matched,20260513,633,2.0,32.0,27.777251184834125,32.0,17583
synthetic45,synthetic_test_039,Random-size-matched-candidate,random_size_matched,20260513,364,2.0,32.0,26.11263736263736,32.0,9505
synthetic45,synthetic_test_039,SASB-candidate,sasb,20260513,364,2.0,32.0,24.85164835164835,32.0,9046
synthetic45,synthetic_test_039,Structure-matched-candidate,structure_matched,20260513,364,2.0,32.0,25.39010989010989,32.0,9242
synthetic45,synthetic_test_040,Random-size-matched-candidate,random_size_matched,20260513,576,2.0,32.0,29.43055555555556,32.0,16952
synthetic45,synthetic_test_040,SASB-candidate,sasb,20260513,576,2.0,32.0,27.85590277777778,32.0,16045
synthetic45,synthetic_test_040,Structure-matched-candidate,structure_matched,20260513,576,2.0,32.0,28.057291666666668,32.0,16161
synthetic45,synthetic_test_041,Random-size-matched-candidate,random_size_matched,20260513,607,2.0,32.0,28.68698517298188,32.0,17413
synthetic45,synthetic_test_041,SASB-candidate,sasb,20260513,607,2.0,32.0,26.91762767710049,32.0,16339
synthetic45,synthetic_test_041,Structure-matched-candidate,structure_matched,20260513,607,2.0,32.0,27.83525535420099,32.0,16896
synthetic45,synthetic_test_042,Random-size-matched-candidate,random_size_matched,20260513,630,2.0,32.0,23.73174603174603,32.0,14951
synthetic45,synthetic_test_042,SASB-candidate,sasb,20260513,630,2.0,32.0,24.584126984126986,32.0,15488
synthetic45,synthetic_test_042,Structure-matched-candidate,structure_matched,20260513,630,2.0,32.0,24.114285714285717,32.0,15192
synthetic45,synthetic_test_043,Random-size-matched-candidate,random_size_matched,20260513,392,2.0,32.0,25.744897959183675,32.0,10092
synthetic45,synthetic_test_043,SASB-candidate,sasb,20260513,392,2.0,32.0,24.571428571428573,32.0,9632
synthetic45,synthetic_test_043,Structure-matched-candidate,structure_matched,20260513,392,2.0,32.0,25.132653061224488,32.0,9852
synthetic45,synthetic_test_044,Random-size-matched-candidate,random_size_matched,20260513,377,2.0,32.0,27.917771883289124,32.0,10525
synthetic45,synthetic_test_044,SASB-candidate,sasb,20260513,377,2.0,32.0,26.05570291777188,32.0,9823
synthetic45,synthetic_test_044,Structure-matched-candidate,structure_matched,20260513,377,2.0,32.0,26.376657824933687,32.0,9944
