dataset,graph_id,graph_name,graph_type,community_strength,method,candidate_policy,source_policy,seed,status,auc,normalized_auc,observed_remove_ratio,removed_edges,final_gcc_ratio,runtime_seconds,true_source_traversal_count,louvain_recomputes,max_steps,gcc_at_5pct,gcc_at_10pct,gcc_at_20pct,gcc_at_40pct,first_positive_drop_step,positive_delta_gcc_rate,conditional_mean_delta_gcc,inter_community_ratio,mean_edge_embeddedness,mean_common_neighbors,source_count_min,source_count_max,source_count_mean,source_count_median,candidate_count_mean,candidate_fraction_mean,candidate_match_difference_mean,strict_match_count_total,degree_only_match_count_total,community_only_match_count_total,fallback_count_total,p2_degree_product_fallback_count,initial_source_nodes,initial_source_node_hash,initial_candidate_count,initial_candidate_hash,candidate_generation_seconds,sampled_path_scoring_seconds,model_scoring_seconds,total_selection_seconds
realworld_completed,bio_celegans,bio-celegans,biological,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,finished,0.7193829885809282,0.7193829885809282,1.0,2025,0.0022075055187637,143.03099209998618,62737,256,2025,0.9845474613686536,0.9602649006622516,0.93598233995585,0.8520971302428256,4,0.1965432098765432,0.002507016317792,0.3002469135802469,0.308245886384886,1.6217283950617285,2.0,32.0,30.98123456790124,32.0,173.86716049382716,0.2616970660618004,0.6651895940362317,0,0,0,0,0,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""155"", ""18"", ""131"", ""301"", ""0"", ""269""]",fb2b32759565cb7b8ebb0d2ee054acfa8911f622a66b79ecab8fc2127cdc59f2,276,c8851baf4267cb32f91a1481aeb2c22bdd712127dc79d39b6c961f5f814215ef,19.443389200081583,31.869221599859884,0.7369214995997027,89.56509629986249
realworld_completed,bio_celegans,bio-celegans,biological,unknown,SASB-candidate,sasb,SASB-structured,20260513,finished,0.643015289019704,0.643015289019704,1.0,2025,0.0022075055187637,126.05701659998158,52105,468,2025,1.0,1.0,1.0,0.9403973509933776,631,0.0790123456790123,0.0062362030905077,0.482962962962963,0.2931863736883515,1.6217283950617285,2.0,32.0,25.730864197530863,32.0,152.63802469135803,0.4118269934174903,0.0,0,0,0,0,0,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""155"", ""18"", ""131"", ""301"", ""0"", ""269""]",fb2b32759565cb7b8ebb0d2ee054acfa8911f622a66b79ecab8fc2127cdc59f2,276,11ac1ecfc9b0488c3a43741d799a7f0a422dbf0a1f4a2dbd2a938abe610bedb3,15.684312100231182,27.837648500251817,0.6282962997502182,78.42375089984853
realworld_completed,bio_celegans,bio-celegans,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,finished,0.6787474450167607,0.6787474450167607,1.0,2025,0.0022075055187637,342.2404874000058,53556,458,2025,1.0,1.0,1.0,0.9536423841059604,730,0.0859259259259259,0.0057344396234553,0.4755555555555555,0.3013403319338241,1.6217283950617285,2.0,32.0,26.447407407407407,32.0,157.62074074074073,0.3852252732998916,0.0,319182,0,0,0,0,"[""96"", ""343"", ""53"", ""51"", ""60"", ""118"", ""142"", ""143"", ""147"", ""62"", ""363"", ""220"", ""144"", ""145"", ""52"", ""364"", ""440"", ""82"", ""83"", ""149"", ""121"", ""109"", ""154"", ""85"", ""398"", ""404"", ""155"", ""18"", ""131"", ""301"", ""0"", ""269""]",fb2b32759565cb7b8ebb0d2ee054acfa8911f622a66b79ecab8fc2127cdc59f2,276,5adec6df3763c84cd31ded4bf704e0260fa0f615275a5e6ee2cde4b803e124cc,226.96608640044,29.093506300239824,0.6543256002187263,292.2458142998512
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,finished,0.7465640263591846,0.7465640263591846,1.0,2148,0.0033670033670033,141.8156138000195,67149,256,2148,0.9831649831649832,0.9696969696969696,0.9494949494949496,0.8451178451178452,12,0.1205772811918063,0.0038480038480038,0.3398510242085661,0.1728546336074175,1.5088454376163871,2.0,32.0,31.261173184357546,32.0,169.2425512104283,0.2335246880762945,0.5719601290462342,0,0,0,0,0,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""73"", ""66"", ""289"", ""265"", ""242"", ""279"", ""157"", ""187"", ""41"", ""169""]",853dc74a9c0e137219276eda92823b77575c0b8454effe1c559465a725645b61,264,bf84cab86524e81a47bf831a51a18235d8c124eaff88dde53fa7d98dac9c6eef,22.48074739877484,29.412694999511587,0.7727220996748656,91.9247058009496
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,SASB-candidate,sasb,SASB-structured,20260513,finished,0.7483541184658502,0.7483541184658502,1.0,2148,0.0033670033670033,130.1131588999997,59038,386,2148,1.0,1.0,1.0,1.0,1079,0.0488826815642458,0.0094917428250761,0.4972067039106145,0.2023576661706078,1.5088454376163871,2.0,32.0,27.48510242085661,32.0,158.47858472998138,0.3409662289613929,0.0,0,0,0,0,0,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""73"", ""66"", ""289"", ""265"", ""242"", ""279"", ""157"", ""187"", ""41"", ""169""]",853dc74a9c0e137219276eda92823b77575c0b8454effe1c559465a725645b61,264,ad4a592257bc236fb200a2713c68b5bd87a810d05878a92ed00b495d59064f45,18.311880698951427,27.54625070086331,0.7051726001373027,84.00758380020852
realworld_completed,bio_celegansneural,bio-celegansneural,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,finished,0.7807419320454702,0.7807419320454702,1.0,2148,0.0033670033670033,372.6705762000056,60528,392,2148,1.0,1.0,1.0,1.0,1127,0.0493482309124767,0.0094021980814433,0.4851024208566108,0.205364529986864,1.5088454376163871,2.0,32.0,28.178770949720672,32.0,162.0768156424581,0.3188569141425637,0.0,348141,0,0,0,0,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""73"", ""66"", ""289"", ""265"", ""242"", ""279"", ""157"", ""187"", ""41"", ""169""]",853dc74a9c0e137219276eda92823b77575c0b8454effe1c559465a725645b61,264,804d287e4d8482e94276eb478969fbe62c916a0129e6b386c33adf9238c98d75,257.0563633996935,28.518257099756735,0.7297919994452968,324.4241612995975
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,finished,0.6555146758237266,0.6555146758237266,1.0,2025,0.0022075055187637,136.65209139999934,61125,291,2025,0.9757174392935982,0.9757174392935982,0.8962472406181016,0.7660044150110376,2,0.1767901234567901,0.0027871298728526,0.3160493827160494,0.32379997288759,1.6217283950617285,2.0,32.0,30.185185185185187,32.0,166.2656790123457,0.2795064114760856,0.679061338213709,0,0,0,0,0,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""451"", ""296"", ""143"", ""238"", ""7"", ""4""]",6ce4e5f1e84a59e96825f512b0ae67ce5b232e05ffb806d6949660dae7297e29,276,244bd5e4d552463c32167f4a5b39674744cc17305610629841e44c6bd2d5f7d0,19.449937899713404,28.48422040048172,0.7090296995593235,84.93898039966007
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,SASB-candidate,sasb,SASB-structured,20260513,finished,0.6329316218352274,0.6329316218352274,1.0,2025,0.0022075055187637,124.03310619998956,51706,479,2025,1.0,1.0,1.0,0.958057395143488,470,0.0711111111111111,0.0069291145450085,0.4849382716049383,0.2980083932464989,1.6217283950617285,2.0,32.0,25.53382716049383,32.0,151.04543209876545,0.4106210249892402,0.0,0,0,0,0,0,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""451"", ""296"", ""143"", ""238"", ""7"", ""4""]",6ce4e5f1e84a59e96825f512b0ae67ce5b232e05ffb806d6949660dae7297e29,276,b3fc0ec3958dfc8f87590a67f1ac85a470d6a6395be9a47d8658ecce91a7c844,15.865222400752828,26.868471900146687,0.6377377992321271,77.24212459981209
realworld_completed,bio_celegans_dir,bio-celegans-dir,biological,unknown,Structure-matched-candidate,structure_matched,SASB-structured,20260513,finished,0.659701850489194,0.659701850489194,1.0,2025,0.0022075055187637,337.7940064999857,52682,466,2025,1.0,1.0,1.0,0.977924944812362,660,0.0790123456790123,0.0062362030905077,0.4804938271604938,0.3131793653676734,1.6217283950617285,2.0,32.0,26.015802469135803,32.0,154.9792592592593,0.3905272804507821,0.0,313833,0,0,0,0,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""451"", ""296"", ""143"", ""238"", ""7"", ""4""]",6ce4e5f1e84a59e96825f512b0ae67ce5b232e05ffb806d6949660dae7297e29,276,07dff8ac9c55db0da79086c0d4b5d6f40dd7dc758acb4c6284bf6b63129f6c2b,223.923155102093,28.071880500530824,0.6641272990091238,287.9477608993766
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,Random-size-matched-candidate,random_size_matched,SASB-structured,20260513,finished,0.1335732975752355,0.1335732975752355,1.0,1188,0.001937984496124,16.21125839999877,22606,449,1188,0.4108527131782946,0.3682170542635659,0.2655038759689923,0.0872093023255814,11,0.132996632996633,0.0063168481993916,0.1902356902356902,0.3809625907973514,1.144781144781145,2.0,32.0,19.02861952861953,21.0,48.24242424242424,0.7243324461868396,0.1829020919342094,0,0,0,0,0,"[""508"", ""170"", ""71"", ""478"", ""77"", ""2"", ""484"", ""16"", ""397"", ""25"", ""96"", ""146"", ""286"", ""321"", ""284"", ""332"", ""12"", ""493"", ""184"", ""208"", ""37"", ""42"", ""379"", ""221"", ""168"", ""45"", ""281"", ""479"", ""107"", ""58"", ""59"", ""383""]",e7b4de9a0d533b19066ba399d2251a95ff9ddba4980e8e5b686152103cffbf9d,216,833dd44f1093b35a16ef909b106faf821dcb3a59d4a6d78f902feb85af07baed,1.7180965004081372,3.346514200064121,0.1203499998373445,9.523084899701644
