dataset,dataset_label,graph_id,method,candidate_policy,seed,steps,initial_candidate_count,candidate_count_mean,candidate_fraction_mean,inter_community_ratio_mean,boundary_ratio_mean,bridge_ratio_mean,low_cn_ratio_mean,matched_feature_difference_mean,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,initial_candidate_hash,initial_source_node_hash
realworld_completed,realworld24,bio_grid_mouse,SASB-candidate,sasb,20260513,1098,222,35.11566484517304,0.8184145697334919,0.25840960075181546,0.25840960075181546,0.5834140847686273,0.9630927019611442,0.0,0,0,0,0,12024e2dbf7f24f0252992c64c0794892fdbdd14796f0397994d9ef5bd814d9b,3986b6c5450ed798c2539ffc95215b91d67d3dcb04d4cc0469776dc0ad984e74
realworld_completed,realworld24,bio_grid_mouse,Structure-matched-candidate,structure_matched,20260513,1098,222,35.100182149362475,0.8202993152815572,0.28590172002021125,0.28590172002021125,0.5816206332050298,0.9634722447787204,0.0,38540,0,0,0,c64ab9fafbdbee6aaee6312c860a60f45d2011a10e429310ba6ebca8eeb1ce72,3986b6c5450ed798c2539ffc95215b91d67d3dcb04d4cc0469776dc0ad984e74
realworld_completed,realworld24,bio_grid_plant,Random-size-matched-candidate,random_size_matched,20260513,2726,374,74.91746148202495,0.6393019320745389,0.1797007739093771,0.1797007739093771,0.42846775479031857,0.8457367213747716,0.2048504610814053,0,0,0,0,896c7aea17ea0f779f76eda469b99fbe2741f97dca8ff30d48193701b2877fa5,2f239a7eb86c452473bef5651e6023307cfdf39566e8372e6ae71656505f9a0c
realworld_completed,realworld24,bio_grid_plant,SASB-candidate,sasb,20260513,2726,374,89.99376375641967,0.6928475006011899,0.21390172861270976,0.21390172861270976,0.4253956210320494,0.9027461488881232,0.0,0,0,0,0,4bb4d3ca8fb2338571abf28c3dd0dd351ba26fc051c424ed84294a2dfa9f6ce3,2f239a7eb86c452473bef5651e6023307cfdf39566e8372e6ae71656505f9a0c
realworld_completed,realworld24,bio_grid_plant,Structure-matched-candidate,structure_matched,20260513,2726,374,68.16177549523111,0.6971296071212918,0.27922120215818497,0.27922120215818497,0.41645741185443036,0.8952477719846124,0.0,185809,0,0,0,4eb39946bce06989f56db9c2dcc4646d5a2f242e375ad0bed2f75d1e66817cf2,2f239a7eb86c452473bef5651e6023307cfdf39566e8372e6ae71656505f9a0c
realworld_completed,realworld24,bio_sc_ts,Random-size-matched-candidate,random_size_matched,20260513,2211,198,133.03392130257802,0.18663802955842806,0.3533467650940513,0.3533467650940513,0.002697335904037049,0.42594418502987214,0.42066917616406563,0,0,0,0,8088e681e8c3b45c3c78cf83bb38b7a6a6f9d10d180951e90c65e7fd32984f04,3f0cf116ea6f33eeeb1d3a559852555a49013d44ed296e066c26bac276a0fb23
realworld_completed,realworld24,bio_sc_ts,SASB-candidate,sasb,20260513,2211,198,129.4554500226142,0.25191801691037996,0.6049114036841183,0.6049114036841183,0.013481465573307745,0.6943399341548447,0.0,0,0,0,0,eb18b2b110e383e8a1c83fb45776fb6fb6ea37ea806f69e4b68233b7ceb94635,3f0cf116ea6f33eeeb1d3a559852555a49013d44ed296e066c26bac276a0fb23
realworld_completed,realworld24,bio_sc_ts,Structure-matched-candidate,structure_matched,20260513,2211,198,131.5174129353234,0.21321828777038832,0.7049967294337087,0.7049967294337087,0.009098273383100328,0.593962404457073,0.0,290785,0,0,0,bada29c7f8ac682a70c869705a235308ffdc914ac8858c228c36b4fd1fa00749,3f0cf116ea6f33eeeb1d3a559852555a49013d44ed296e066c26bac276a0fb23
realworld_completed,realworld24,ca_csphd,Random-size-matched-candidate,random_size_matched,20260513,1043,224,11.108341323106425,0.9809175758544415,0.0579158284606384,0.0579158284606384,0.9954377734113257,0.9998463780355163,0.008186393053913955,0,0,0,0,f707a43f287d7f106ba5cfa65ac2eee7faef39739c2482427955be76bc40f25a,70563d504c6c9df6e46b0c33a7765a935abc6392941ebfa192ba34aa9ae1c42a
realworld_completed,realworld24,ca_csphd,SASB-candidate,sasb,20260513,1043,224,10.679769894534996,0.9833503577714501,0.06154303772494915,0.06154303772494915,0.9929727681583742,0.9997181583214929,0.0,0,0,0,0,13974d1edc088668fe4d293298a4d5ead2ae25a50085a2627e2c0c4bdccc5c69,70563d504c6c9df6e46b0c33a7765a935abc6392941ebfa192ba34aa9ae1c42a
