dataset,dataset_label,graph_id,seed,comparison,left_method,right_method,normalized_auc_left,normalized_auc_right,normalized_auc_diff,gcc_at_5pct_left,gcc_at_5pct_right,gcc_at_5pct_diff,gcc_at_10pct_left,gcc_at_10pct_right,gcc_at_10pct_diff,gcc_at_20pct_left,gcc_at_20pct_right,gcc_at_20pct_diff,gcc_at_40pct_left,gcc_at_40pct_right,gcc_at_40pct_diff,first_positive_drop_step_left,first_positive_drop_step_right,first_positive_drop_step_diff,positive_delta_gcc_rate_left,positive_delta_gcc_rate_right,positive_delta_gcc_rate_diff,conditional_mean_delta_gcc_left,conditional_mean_delta_gcc_right,conditional_mean_delta_gcc_diff,inter_community_ratio_left,inter_community_ratio_right,inter_community_ratio_diff,mean_edge_embeddedness_left,mean_edge_embeddedness_right,mean_edge_embeddedness_diff,mean_common_neighbors_left,mean_common_neighbors_right,mean_common_neighbors_diff,runtime_seconds_left,runtime_seconds_right,runtime_seconds_diff,true_source_traversal_count_left,true_source_traversal_count_right,true_source_traversal_count_diff,candidate_generation_seconds_left,candidate_generation_seconds_right,candidate_generation_seconds_diff,sampled_path_scoring_seconds_left,sampled_path_scoring_seconds_right,sampled_path_scoring_seconds_diff,model_scoring_seconds_left,model_scoring_seconds_right,model_scoring_seconds_diff,louvain_recomputes_left,louvain_recomputes_right,louvain_recomputes_diff,left_better,right_better,tie
realworld_completed,realworld24,bio_celegans,20260513,SASB-candidate minus Structure-matched-candidate,SASB-candidate,Structure-matched-candidate,0.643015289019704,0.6787474450167607,-0.0357321559970567,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9403973509933776,0.9536423841059604,-0.013245033112582738,631,730,-99,0.0790123456790123,0.0859259259259259,-0.006913580246913603,0.0062362030905077,0.0057344396234553,0.0005017634670524008,0.482962962962963,0.4755555555555555,0.007407407407407474,0.2931863736883515,0.3013403319338241,-0.008153958245472603,1.6217283950617285,1.6217283950617285,0.0,126.05701659998158,342.2404874000058,-216.18347080002422,52105,53556,-1451,15.684312100231182,226.96608640044,-211.2817743002088,27.837648500251817,29.093506300239824,-1.2558577999880072,0.6282962997502182,0.6543256002187263,-0.026029300468508154,468,458,10,1,0,0
realworld_completed,realworld24,bio_celegans,20260513,SASB-candidate minus Random-size-matched-candidate,SASB-candidate,Random-size-matched-candidate,0.643015289019704,0.7193829885809282,-0.07636769956122424,1.0,0.9845474613686536,0.015452538631346435,1.0,0.9602649006622516,0.039735099337748436,1.0,0.93598233995585,0.06401766004415,0.9403973509933776,0.8520971302428256,0.088300220750552,631,4,627,0.0790123456790123,0.1965432098765432,-0.1175308641975309,0.0062362030905077,0.002507016317792,0.0037291867727157002,0.482962962962963,0.3002469135802469,0.18271604938271607,0.2931863736883515,0.308245886384886,-0.015059512696534494,1.6217283950617285,1.6217283950617285,0.0,126.05701659998158,143.03099209998618,-16.9739755000046,52105,62737,-10632,15.684312100231182,19.443389200081583,-3.7590770998504013,27.837648500251817,31.869221599859884,-4.031573099608067,0.6282962997502182,0.7369214995997027,-0.10862519984948449,468,256,212,1,0,0
realworld_completed,realworld24,bio_celegans,20260513,Structure-matched-candidate minus Random-size-matched-candidate,Structure-matched-candidate,Random-size-matched-candidate,0.6787474450167607,0.7193829885809282,-0.04063554356416754,1.0,0.9845474613686536,0.015452538631346435,1.0,0.9602649006622516,0.039735099337748436,1.0,0.93598233995585,0.06401766004415,0.9536423841059604,0.8520971302428256,0.10154525386313473,730,4,726,0.0859259259259259,0.1965432098765432,-0.11061728395061729,0.0057344396234553,0.002507016317792,0.0032274233056632995,0.4755555555555555,0.3002469135802469,0.1753086419753086,0.3013403319338241,0.308245886384886,-0.0069055544510618905,1.6217283950617285,1.6217283950617285,0.0,342.2404874000058,143.03099209998618,199.20949530001963,53556,62737,-9181,226.96608640044,19.443389200081583,207.5226972003584,29.093506300239824,31.869221599859884,-2.7757152996200603,0.6543256002187263,0.7369214995997027,-0.08259589938097633,458,256,202,1,0,0
realworld_completed,realworld24,bio_celegans_dir,20260513,SASB-candidate minus Structure-matched-candidate,SASB-candidate,Structure-matched-candidate,0.6329316218352274,0.659701850489194,-0.02677022865396661,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.958057395143488,0.977924944812362,-0.01986754966887405,470,660,-190,0.0711111111111111,0.0790123456790123,-0.007901234567901205,0.0069291145450085,0.0062362030905077,0.0006929114545007999,0.4849382716049383,0.4804938271604938,0.004444444444444473,0.2980083932464989,0.3131793653676734,-0.015170972121174464,1.6217283950617285,1.6217283950617285,0.0,124.03310619998956,337.7940064999857,-213.76090029999614,51706,52682,-976,15.865222400752828,223.923155102093,-208.05793270134018,26.868471900146687,28.071880500530824,-1.2034086003841367,0.6377377992321271,0.6641272990091238,-0.026389499776996672,479,466,13,1,0,0
realworld_completed,realworld24,bio_celegans_dir,20260513,SASB-candidate minus Random-size-matched-candidate,SASB-candidate,Random-size-matched-candidate,0.6329316218352274,0.6555146758237266,-0.022583053988499135,1.0,0.9757174392935982,0.02428256070640178,1.0,0.9757174392935982,0.02428256070640178,1.0,0.8962472406181016,0.10375275938189843,0.958057395143488,0.7660044150110376,0.19205298013245042,470,2,468,0.0711111111111111,0.1767901234567901,-0.105679012345679,0.0069291145450085,0.0027871298728526,0.0041419846721559,0.4849382716049383,0.3160493827160494,0.16888888888888892,0.2980083932464989,0.32379997288759,-0.025791579641091078,1.6217283950617285,1.6217283950617285,0.0,124.03310619998956,136.65209139999934,-12.618985200009774,51706,61125,-9419,15.865222400752828,19.449937899713404,-3.584715498960577,26.868471900146687,28.48422040048172,-1.6157485003350338,0.6377377992321271,0.7090296995593235,-0.07129190032719634,479,291,188,1,0,0
realworld_completed,realworld24,bio_celegans_dir,20260513,Structure-matched-candidate minus Random-size-matched-candidate,Structure-matched-candidate,Random-size-matched-candidate,0.659701850489194,0.6555146758237266,0.004187174665467475,1.0,0.9757174392935982,0.02428256070640178,1.0,0.9757174392935982,0.02428256070640178,1.0,0.8962472406181016,0.10375275938189843,0.977924944812362,0.7660044150110376,0.21192052980132448,660,2,658,0.0790123456790123,0.1767901234567901,-0.0977777777777778,0.0062362030905077,0.0027871298728526,0.0034490732176551005,0.4804938271604938,0.3160493827160494,0.16444444444444445,0.3131793653676734,0.32379997288759,-0.010620607519916614,1.6217283950617285,1.6217283950617285,0.0,337.7940064999857,136.65209139999934,201.14191509998636,52682,61125,-8443,223.923155102093,19.449937899713404,204.4732172023796,28.071880500530824,28.48422040048172,-0.41233989995089715,0.6641272990091238,0.7090296995593235,-0.04490240055019967,466,291,175,0,1,0
realworld_completed,realworld24,bio_celegansneural,20260513,SASB-candidate minus Structure-matched-candidate,SASB-candidate,Structure-matched-candidate,0.7483541184658502,0.7807419320454702,-0.03238781357961995,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1079,1127,-48,0.0488826815642458,0.0493482309124767,-0.0004655493482308981,0.0094917428250761,0.0094021980814433,8.954474363279986e-05,0.4972067039106145,0.4851024208566108,0.012104283054003684,0.2023576661706078,0.205364529986864,-0.0030068638162562,1.5088454376163871,1.5088454376163871,0.0,130.1131588999997,372.6705762000056,-242.5574173000059,59038,60528,-1490,18.311880698951427,257.0563633996935,-238.74448270074208,27.54625070086331,28.518257099756735,-0.9720063988934236,0.7051726001373027,0.7297919994452968,-0.024619399307994172,386,392,-6,1,0,0
realworld_completed,realworld24,bio_celegansneural,20260513,SASB-candidate minus Random-size-matched-candidate,SASB-candidate,Random-size-matched-candidate,0.7483541184658502,0.7465640263591846,0.0017900921066655862,1.0,0.9831649831649832,0.01683501683501676,1.0,0.9696969696969696,0.030303030303030387,1.0,0.9494949494949496,0.050505050505050386,1.0,0.8451178451178452,0.15488215488215484,1079,12,1067,0.0488826815642458,0.1205772811918063,-0.0716945996275605,0.0094917428250761,0.0038480038480038,0.0056437389770723,0.4972067039106145,0.3398510242085661,0.1573556797020484,0.2023576661706078,0.1728546336074175,0.029503032563190285,1.5088454376163871,1.5088454376163871,0.0,130.1131588999997,141.8156138000195,-11.702454900019802,59038,67149,-8111,18.311880698951427,22.48074739877484,-4.168866699823415,27.54625070086331,29.412694999511587,-1.8664442986482754,0.7051726001373027,0.7727220996748656,-0.06754949953756295,386,256,130,0,1,0
realworld_completed,realworld24,bio_celegansneural,20260513,Structure-matched-candidate minus Random-size-matched-candidate,Structure-matched-candidate,Random-size-matched-candidate,0.7807419320454702,0.7465640263591846,0.03417790568628554,1.0,0.9831649831649832,0.01683501683501676,1.0,0.9696969696969696,0.030303030303030387,1.0,0.9494949494949496,0.050505050505050386,1.0,0.8451178451178452,0.15488215488215484,1127,12,1115,0.0493482309124767,0.1205772811918063,-0.0712290502793296,0.0094021980814433,0.0038480038480038,0.0055541942334395005,0.4851024208566108,0.3398510242085661,0.1452513966480447,0.205364529986864,0.1728546336074175,0.032509896379446485,1.5088454376163871,1.5088454376163871,0.0,372.6705762000056,141.8156138000195,230.8549623999861,60528,67149,-6621,257.0563633996935,22.48074739877484,234.57561600091867,28.518257099756735,29.412694999511587,-0.8944378997548519,0.7297919994452968,0.7727220996748656,-0.04293010022956878,392,256,136,0,1,0
realworld_completed,realworld24,bio_diseasome,20260513,SASB-candidate minus Structure-matched-candidate,SASB-candidate,Structure-matched-candidate,0.1157953892934513,0.1182684402161146,-0.0024730509226632974,0.4127906976744186,0.4069767441860465,0.005813953488372103,0.4031007751937984,0.375968992248062,0.02713178294573637,0.2713178294573643,0.2635658914728682,0.007751937984496138,0.0562015503875969,0.0600775193798449,-0.0038759689922479995,2,2,0,0.09006734006734,0.1043771043771043,-0.0143097643097643,0.0093276823878866,0.0080488872218054,0.0012787951660812001,0.2112794612794613,0.2154882154882154,-0.004208754208754106,0.3736999665229331,0.3802600479230914,-0.006560081400158346,1.144781144781145,1.144781144781145,0.0,14.204268900008174,23.0430650000053,-8.838796099997126,20504,21094,-590,1.3033468996291049,9.894519300141836,-8.59117240051273,2.8743712003342807,2.9747552005865145,-0.10038400025223382,0.1065956006059423,0.1106804992305114,-0.004084898624569108,495,482,13,1,0,0
